1052213
/m/041t9w
/m/041t9w
Thomas Hardy
1887

a 9
accidentally 1
adored 1
affair 1
after 3
all 3
allows 2
along 1
although 1
always 1
an 5
and 8
as 3
at 1
awe 1
back 1
be 1
been 2
begins 1
betrothed 1
brilliant 1
but 4
called 1
can 2
character 1
charmond 2
child 1
childhood 1
coldly 1
concerns 1
considers 1
convalescing 1
couple 1
courageous 1
dangerous 1
daughter 1
deserts 1
dies 1
divorce 1
doctor 1
does 1
during 1
edred 1
education 1
efforts 1
encourage 1
enough 1
except 1
fate 1
father 2
fatherinlaw 1
finally 1
financial 1
fitzpiers 5
flees 1
for 6
forget 1
from 1
giles 6
girl 1
give 1
good 1
grace 6
handsome 1
has 4
have 1
he 6
help 1
her 6
herself 1
him 3
hintock 2
his 7
honest 1
honeymoon 1
house 2
however 1
hut 1
illness 1
in 5
informally 1
insists 1
interest 1
is 2
later 1
least 1
left 1
little 2
longer 1
love 1
loved 1
made 1
make 1
man 2
marries 1
marry 2
marty 1
match 1
mate 1
melbury 3
more 1
mourn 1
mrs 2
named 3
ndash 2
new 1
night 1
no 2
nobly 1
nonetheless 1
of 3
on 1
one 2
only 1
outside 1
overlooked 1
peasant 1
perfect 1
place 1
procure 1
quarrels 1
reconcile 1
repentant 1
residence 1
result 1
returns 1
reveals 1
rich 1
sacrifices 1
sealing 1
sees 1
she 2
sleep 1
sleeping 1
small 1
so 1
some 1
soon 1
south 1
still 1
stormy 1
story 1
superior 1
sweetheart 1
take 1
takes 3
temporarily 1
than 1
the 9
they 1
thus 1
time 1
to 15
treating 1
tries 1
true 1
try 1
turns 1
unused 1
unworthy 1
up 1
vain 1
village 1
weather 1
wellborn 1
what 1
when 2
whilst 1
who 2
widow 1
wife 2
wing 1
winterborne 1
with 3
won 1
woodland 1
woodsman 1
young 1
