511296
/m/02k1xh
/m/02k1xh
Umberto Eco
2000
{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/01qxvh": "Romance novel", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
1155 1
1204 1
15 1
77 1
a 11
abdul 1
about 2
above 1
ad 1
adopted 1
adventure 1
after 1
alessandria 3
alexander 1
alexandria 1
alignright 1
all 1
amazed 1
ancient 1
and 17
andronicus 1
another 1
apparently 1
archpoet 2
are 2
artsruni 1
as 2
at 3
aulari 1
barbarossa 1
battlefield 1
battles 1
baudolino 8
beatrice 1
become 1
bede 1
begins 2
beings 1
bestiaries 1
biological 1
blemmyae 1
blemmyes 2
boron 2
burgundy 1
by 4
chaos 1
characters 1
choniates 2
chronicles 1
city 1
clan 1
classwikitable 1
colspan2 1
comedy 1
comnenus 1
confusion 1
constantinople 1
countess 1
court 1
creation 1
creature 1
creatures 2
crusade 2
dassel 1
de 2
deacon 1
death 1
debates 1
described 1
drawn 1
dreams 1
eco 2
educated 1
elder 1
emperor 1
encompassing 1
enters 1
epic 1
eschenbach 1
eunuchs 1
event 1
example 1
except 1
fabled 1
falls 1
female 1
fictional 1
figuring 1
find 1
foucault 1
fourth 1
frederick 3
freising 1
friends 2
from 3
full 1
gagliaudo 1
gains 1
gavagai 1
genius 1
gnostic 1
gnosticism 1
hagiochristophorites 1
has 2
he 8
heard 1
him 1
his 8
histori 1
historical 1
hypatia 1
i 3
if 1
iii 1
in 10
indeterminacy 1
into 1
invented 1
is 7
italy 1
john 4
journey 1
kingdom 2
kyot 2
land 1
language 1
languages 1
latin 1
learns 2
legendary 3
leprous 1
life 2
long 1
love 1
man 2
many 2
medieval 1
meets 2
member 1
mixed 1
monopod 2
mountain 1
myth 1
named 1
naturalis 1
never 1
niketas 4
noble 1
northern 1
not 1
novel 1
novels 1
nuremberg 1
of 23
off 1
old 1
on 3
one 1
onward 1
or 1
other 1
others 1
otto 1
panotti 2
parents 1
paris 2
part 1
parzival 1
patron 1
pendulum 1
pervasive 1
philosophical 1
pliny 1
pndapetzim 1
poetry 1
point 1
pope 1
power 1
presence 1
prester 3
protagonist 1
purported 1
putative 1
pygmies 1
question 1
quine 1
rainald 1
reaching 1
reading 1
recount 1
recounts 1
reference 2
rendered 1
robert 2
saint 1
satyr 1
satyrlike 1
satyrs 1
saves 1
saviour 1
scholar 1
sent 1
set 1
skiapods 1
sold 1
source 1
speaking 1
stephen 1
story 2
strange 1
strangest 1
struggles 1
subruler 1
successors 1
such 1
that 1
the 28
these 1
this 2
through 1
thrown 1
time 1
to 9
top 1
translation 1
unaware 1
unicorns 1
unknown 1
various 1
venerable 1
von 1
were 1
when 1
who 3
width250 1
wife 1
with 2
wolfram 1
writing 1
year 1
years 1
young 1
