1234167
/m/04krhc
/m/04krhc
Michael Crichton
1972-04-12
30s 1
a 30
about 1
activated 1
actually 1
adamant 1
addicts 1
administer 1
admits 1
after 3
ago 1
ahead 1
airport 2
all 1
allowed 1
an 6
and 24
anders 4
angela 3
answering 1
are 6
arrives 1
as 4
asks 1
at 6
atomic 2
attack 1
attacked 1
autopsy 1
awakened 1
away 1
back 5
bartender 1
basement 2
be 2
beaten 1
beats 1
because 2
become 1
becoming 1
been 1
before 1
begin 1
belief 1
benson 32
between 1
black 3
blackouts 2
blueprints 1
book 1
boss 1
brain 6
brief 1
brought 1
but 4
by 10
call 3
called 1
candidate 1
causes 1
checks 1
clerical 1
club 1
coming 1
commits 1
computer 8
computers 1
concerns 2
contacted 1
control 1
controlled 1
convinced 1
corridors 1
could 1
crimes 1
cure 2
curtailed 1
damage 1
day 1
decides 1
department 1
despite 1
device 1
did 1
difference 1
different 1
disarming 1
discovers 1
disorder 1
disrupts 1
doesnt 1
dog 1
dogtag 1
doing 1
done 1
down 2
due 1
during 2
each 1
electrodes 5
ellis 3
emeritus 1
emit 1
epilepsy 1
error 1
escaped 1
explains 1
face 1
fascinated 1
feared 1
finally 1
find 2
findings 1
finds 4
finish 1
firefight 1
flees 1
followed 1
for 6
forty 2
found 1
frequent 2
from 4
gave 1
gerhard 5
getting 1
girls 1
gives 1
go 2
goes 11
gun 3
hangar 2
harry 1
has 8
have 2
having 1
he 16
head 2
her 2
him 6
himself 1
his 14
home 1
hospital 8
hour 1
hours 1
house 2
ibm 1
if 2
implant 1
implants 1
in 11
initiate 1
injured 1
injuring 1
inside 1
instead 1
intense 1
interfacing 1
internal 1
interviews 2
into 2
involuntarily 1
is 17
isnt 1
it 2
its 1
janet 1
job 1
joe 2
john 1
just 1
kills 1
knowledge 1
later 1
leads 1
learning 1
leaving 1
lecture 1
like 1
locates 1
lost 1
lot 1
lower 1
machine 1
machines 1
mainframe 3
malfunction 1
man 4
manages 1
manon 3
matches 1
maze 1
mcpherson 2
medicine 1
meets 1
messing 1
microwave 1
might 1
mind 1
minicomputer 1
modern 1
monitor 1
more 2
morris 7
much 2
murder 1
must 1
name 1
named 2
neuropsychiatric 1
no 2
normal 1
norwegian 1
not 2
nurses 1
of 16
often 1
on 3
one 4
ones 1
operation 4
orders 1
out 1
over 1
pacemaker 2
pack 2
part 1
pathologists 1
people 2
perform 1
personality 1
picks 1
pipe 1
pleasure 3
plutonium 1
pointing 1
police 1
policeman 1
potentially 1
power 2
powered 1
prevent 1
prime 1
prior 1
procedure 1
produces 1
professor 1
psychiatrist 1
psychomotor 1
psychotic 1
put 1
questioned 1
questions 1
radiation 1
raises 1
ramifications 1
realizes 4
recalls 1
receiving 1
recovering 1
refuses 1
resting 1
result 1
results 1
returns 1
right 1
room 1
ross 16
runs 1
said 1
saw 1
say 1
says 2
scene 1
search 1
searches 1
see 1
seizure 4
seizures 7
senses 1
severely 2
sexual 2
shaved 1
she 3
shock 1
shoots 1
shoulder 2
shows 1
shutting 1
sleep 1
small 1
smashes 1
so 1
somebody 1
spends 1
station 1
steal 1
steel 1
still 1
stimulate 3
stimulates 1
stop 1
strip 1
struggle 1
such 1
suffers 1
surgeons 1
surgery 2
system 1
system360 1
tag 1
taking 1
team 1
tearful 1
technician 1
that 14
the 45
then 3
there 1
these 1
they 1
things 1
this 2
thorazine 2
through 1
time 2
to 35
took 1
traces 1
turn 2
two 2
ultramodern 1
unintentionally 1
university 3
unprecedented 1
up 2
upgraded 1
voiced 1
volunteers 1
wakes 1
wanted 1
was 3
way 1
wear 1
were 1
what 2
when 3
where 3
which 5
while 1
who 10
whose 1
wig 1
with 6
woman 1
wont 1
work 1
world 1
would 3
