7904935
/m/026jhm3
/m/026jhm3
Anthony Horowitz

a 29
abandoned 1
about 3
accident 1
actor 1
actress 1
after 2
again 1
agent 1
almost 1
also 1
although 1
an 4
and 24
another 1
any 1
apparently 1
are 3
area 1
as 4
at 5
attempt 2
back 1
badly 1
be 2
became 1
because 3
been 2
before 2
being 3
believing 1
blown 1
boat 2
book 3
both 1
box 1
breathe 1
broken 1
brought 1
builder 1
bulb 4
but 2
by 8
called 5
came 1
cannot 1
captain 1
captured 1
causing 1
cell 1
cells 1
chamber 1
chance 1
change 1
chapter 1
character 1
characters 1
cleaners 1
clumsily 1
coast 2
come 1
company 4
completely 1
create 2
created 1
crossed 1
day 1
deadends 1
death 1
decide 1
decides 1
describes 1
describing 1
despite 1
diana 1
died 1
discouraged 1
distribute 1
do 2
does 1
down 3
during 1
early 1
eg 1
elephantiasis 1
else 1
end 2
ended 1
englishman 1
essential 1
eventually 1
everyone 1
explains 1
fact 1
fairground 1
falls 1
famous 1
fatal 2
feather 1
ferrero 1
few 1
fijoka 1
fills 1
final 1
find 3
finding 1
first 1
fletcher 1
followed 2
foot 1
for 2
found 2
frame 1
france 3
from 2
funny 2
gas 5
get 1
gets 1
go 2
goes 3
going 1
government 1
groups 1
guy 8
had 2
has 7
having 1
he 19
her 4
herself 1
hiding 1
him 2
his 6
holding 1
hour 1
house 1
how 2
however 1
humourless 1
identity 1
if 2
importantly 1
in 16
into 1
investigate 1
investigating 2
irishman 1
is 17
island 1
it 5
joke 11
jokes 5
just 1
kelford 1
kept 1
knock 1
know 1
knows 1
last 1
lead 1
led 1
left 1
leikist 1
level 1
liddy 3
life 1
light 4
like 2
local 1
long 1
love 1
loved 1
maintenance 1
makes 1
man 1
many 1
map 1
meets 1
memory 1
mentioned 1
mission 1
moore 2
more 1
most 1
mother 2
mr 1
much 1
multiple 1
murder 1
must 1
mysterious 1
mystery 1
narrator 1
near 1
neighbor 1
new 1
next 1
night 1
not 3
noticed 1
number 1
of 11
off 4
on 6
one 1
ones 1
only 1
originally 1
out 5
overhears 1
overnight 1
paths 1
penultimate 1
people 4
perfect 1
places 1
plane 1
plots 1
point 1
poisonous 1
politics 1
princess 1
pub 1
punchline 1
puts 1
real 1
realised 1
redirected 1
repaired 1
revealed 1
reveals 1
rings 1
rocher 1
room 2
ruined 1
rupert 3
sally 7
same 1
scotsman 1
secret 1
selina 2
sent 1
seriously 1
set 1
sex 1
short 1
shout 1
sleep 1
small 2
so 2
someone 2
something 1
son 1
soon 1
speak 1
speech 1
sphinx 3
spoken 1
staffed 1
start 1
started 1
steal 1
stereotypes 1
stop 2
stopping 1
suffolk 1
suuttuu 1
switched 1
sylvie 1
take 2
technicians 1
telling 1
that 14
the 32
their 2
them 2
then 4
there 7
they 13
things 1
this 3
three 1
tickling 1
to 16
together 1
too 2
topsecret 1
tortures 1
towns 1
traced 1
track 3
trails 2
travel 2
tries 1
turned 1
turning 1
turns 1
unconscious 2
up 5
using 1
vacuum 1
variety 1
various 2
very 1
village 1
wake 1
was 5
way 1
went 1
were 2
what 2
when 4
where 3
which 2
who 8
why 2
with 7
woman 1
wonders 1
words 1
wouldnt 1
written 1
