3080389
/m/08q0xp
/m/08q0xp
John Dryden

a 11
about 2
act 5
after 1
agrees 1
aide 1
alexandria 2
alexas 10
alexass 1
also 2
although 1
amends 1
an 2
and 35
antony 36
antonys 7
anything 1
apart 1
appears 3
are 1
argument 2
as 1
asks 2
attempt 1
attempts 3
avoid 1
back 3
banished 1
battle 2
be 3
bears 1
become 1
been 1
behind 1
belief 1
believe 1
believes 2
belongs 1
betray 1
betrayal 1
between 3
bid 1
both 1
bracelet 2
bring 1
brings 1
but 8
by 8
caesar 5
can 1
cannot 1
celebrate 1
charmion 1
children 1
chooses 1
claims 1
clear 1
cleopatra 31
cleopatras 6
comes 5
commit 1
concerned 1
confirm 1
continue 1
convinced 1
daughters 1
dead 2
death 1
decision 1
defeat 1
delivers 1
demonstrating 1
describes 1
disagrees 1
dismissed 1
dismisses 1
divising 1
does 2
doesnt 1
dolabella 10
dollabella 1
doom 1
dotes 1
dying 1
egypt 1
egypts 1
end 1
eulogy 1
eunuch 1
even 1
explain 1
face 1
failed 1
fall 1
farewell 1
festival 1
fight 1
five 1
flee 2
flees 1
fleet 1
flooding 1
for 7
foreboding 1
four 1
friend 2
from 4
general 1
gift 2
gifts 1
give 1
go 2
going 1
greeted 1
guilt 1
hand 1
has 1
have 3
he 11
hear 1
hears 1
help 1
her 13
herself 1
him 4
himself 2
his 6
honor 1
hosts 1
how 2
however 1
hurts 1
if 2
impending 1
in 8
including 1
information 1
informed 1
informs 1
infuriated 1
innocence 2
inspire 1
insulted 1
is 17
it 3
jealousy 1
jewels 1
kills 2
know 1
lady 1
leave 1
leaves 2
leaving 1
left 1
letter 1
life 1
like 1
living 1
looking 1
loophole 1
love 3
lovers 1
loves 1
make 3
meddle 1
meet 1
meeting 2
messenger 1
more 1
most 1
mourns 1
move 1
naval 1
negative 1
nile 1
not 6
octavia 10
octavius 1
of 10
offers 2
old 1
omens 1
on 2
one 1
onto 1
opinions 1
out 1
overhears 1
overjoyed 1
overwhelmed 1
own 1
partner 1
peace 1
permanently 1
persuaded 1
place 2
plan 1
plans 1
prepare 1
proclaim 1
proclaims 1
refused 1
refuses 3
regarding 1
relationship 2
returning 1
returns 2
reunite 1
rightful 3
rightfully 1
rival 1
roman 1
romantically 1
rome 1
safety 1
sail 1
sails 1
sake 1
same 1
see 1
seeing 1
seems 1
sees 3
sends 1
serapion 2
serapions 2
set 1
she 4
should 1
showing 1
side 2
sister 1
situation 1
so 1
some 1
speak 1
stay 1
still 1
stop 2
storms 1
story 1
strength 1
subsequent 1
success 1
suggests 1
suicide 1
syria 1
takes 1
taking 1
tell 2
tells 6
testify 1
that 14
the 13
their 2
them 2
themselves 1
then 6
they 1
this 4
three 1
thus 2
tie 1
time 1
to 40
traitor 1
tried 1
tries 1
troops 1
true 1
try 2
two 2
unsuccessful 1
unsuccessfully 1
up 2
using 1
ventidius 12
ventidiuss 1
ventidus 1
verge 1
waiting 1
want 1
war 2
warm 1
was 1
way 1
welcome 1
when 4
where 1
which 1
whirlwinds 1
who 1
whom 2
wife 1
will 6
win 1
wins 1
with 10
without 1
witness 1
worries 1
would 3
wrist 1
