667280
/m/0316t1
/m/0316t1
Ilya Ilf
1928
127 1
12th 1
a 7
abandoning 1
advantage 1
adventure 1
after 2
afterwards 1
all 1
alone 1
along 1
already 1
also 2
and 16
are 2
arthur 1
as 3
aspects 1
auction 1
avoid 1
away 1
based 1
basic 1
becomes 2
been 5
bender 3
benders 1
between 1
bolsheviks 1
building 1
but 3
buy 1
by 2
central 1
chair 2
chairs 4
characters 1
charm 1
chess 1
childhood 1
clerk 1
club 1
comic 1
comparatively 1
comrades 1
conan 1
confession 1
conman 1
containing 1
deathbed 2
desk 1
dining 1
discover 1
discovers 1
doesnt 1
down 1
doyle 1
egoism 1
element 1
elimination 1
encounter 1
enterprise 1
erecting 1
everyday 1
expropriated 1
fail 1
family 1
familys 1
father 1
finally 1
find 2
for 2
forces 1
former 1
fortune 1
found 1
four 1
from 3
funny 1
future 1
fyodor 1
goes 1
government 1
had 2
happy 1
has 3
have 2
he 5
helps 1
her 2
hes 1
hidden 1
him 1
his 3
honest 1
hopefully 1
housing 1
however 1
hundred 1
hunter 1
idea 1
ilf 1
in 8
individualism 1
individually 1
insane 1
inside 1
institutions 1
ippolit 1
is 5
it 1
items 1
its 1
jewelry 1
jewels 1
kisa 2
knows 1
last 1
life 1
location 1
loot 1
losing 1
main 1
many 1
matveyevich 1
member 1
mme 1
money 1
moscow 1
motherinlaw 1
murders 1
napoleons 1
new 1
newspaper 1
nickname 1
no 2
nobility 1
not 4
novel 2
observations 1
of 12
off 2
old 1
on 5
one 2
only 1
operations 1
operator 1
order 1
ostap 3
other 2
out 1
partner 1
people 1
personal 1
petrovs 1
petukhovas 1
population 1
possess 1
post 1
prefers 1
principles 1
process 1
property 1
provincial 1
public 1
pussy 1
put 1
quest 1
recover 1
represents 1
result 1
reveals 1
revolution 1
revolutionary 1
rival 1
room 1
russian 1
satirizes 1
search 1
searching 1
selfesteem 1
set 5
short 1
shrewd 1
similar 1
similarities 1
six 1
smooth 1
so 2
sold 1
soviet 2
spent 1
split 1
splitting 1
steadily 1
story 1
streetsmart 1
student 1
taking 1
that 4
the 30
their 1
then 1
there 1
they 4
this 5
those 1
through 1
to 5
took 1
track 1
treasure 4
twelve 2
two 2
ultimately 1
union 2
up 2
values 1
vorobyaninov 3
vorobyaninovs 2
ways 1
which 2
while 1
who 1
with 2
works 1
