1087753
/m/044wvf
/m/044wvf
Madeleine L'Engle
1973-01-01
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
6yearold 1
a 17
about 1
accept 1
afternoon 1
against 2
all 2
also 4
an 1
and 11
are 1
as 2
at 1
back 1
because 1
been 1
being 2
beings 1
blajeny 1
breath 1
brother 2
bullied 1
but 3
by 6
called 3
calvin 1
characters 1
charles 7
cherub 1
cherubim 1
children 2
class 1
convincing 1
creature 1
destroying 1
disciplined 1
discover 1
discovers 1
disease 1
distinguish 1
do 1
doubles 2
dragons 2
drive 2
echthroi 4
echthros 2
elementary 1
emptiness 1
encounter 3
enlist 1
entire 1
erase 1
everything 1
eyes 1
family 1
fara 1
farandola 1
farandolae 2
fate 1
feathers 1
fictional 1
fill 1
find 2
former 1
frightening 1
from 2
galaxy 1
garden 1
genius 1
goes 1
goodness 1
grudge 2
has 4
have 2
having 1
he 4
help 1
her 4
herself 1
high 1
him 4
himself 1
his 4
in 7
informs 1
inside 1
insists 1
instead 1
invaded 1
investigate 1
is 18
it 2
its 1
jenkins 7
larger 1
larval 1
later 1
learn 1
learns 1
leaving 1
let 1
life 1
like 1
live 1
lives 1
look 1
looks 1
louise 1
love 1
mature 1
may 1
means 1
meg 11
microbiologist 1
mitochondria 2
mother 1
mr 6
multitude 1
murry 1
must 1
named 3
naming 1
nearly 1
new 1
nicknamed 1
normal 1
odd 1
of 12
often 1
okeefe 1
on 2
one 2
other 1
out 1
part 1
past 1
personal 1
pile 1
plural 1
practically 1
principal 2
process 1
proginoskes 3
progo 1
progressive 1
protecting 1
quickly 1
real 1
returns 1
robed 1
role 1
root 1
sacrifices 1
save 1
saved 1
saw 1
school 3
seek 1
she 2
short 1
single 1
snake 1
something 2
soon 1
sure 1
suspects 1
take 1
tall 1
task 1
teacher 2
tells 1
that 10
the 19
their 3
them 2
then 1
they 4
things 1
this 2
threatened 1
tide 1
to 10
top 1
travel 1
tries 1
turn 1
two 1
universe 1
unnaming 1
unsuccessful 1
urgings 1
vegetable 1
very 1
wall 1
wallace 7
which 2
who 6
whole 1
wings 1
with 3
within 1
worried 1
xedunnamed 1
yadah 1
yard 1
