2523381
/m/07ksmy
/m/07ksmy
Anne Rice
1989-05-06
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 17
ability 1
accusation 1
accusations 1
actions 1
adopts 1
advice 1
advisor 1
after 4
again 1
ailing 1
alcohol 1
alex 1
all 1
allows 1
also 4
although 2
an 8
and 26
antony 3
appears 2
are 2
arisen 1
as 6
at 1
attempt 2
attempts 1
attracted 1
awake 2
awakening 1
awakens 1
away 2
be 6
because 2
been 1
before 1
begins 1
being 1
believe 1
bid 1
bloody 1
body 3
brain 1
breaking 1
british 1
bullet 1
but 4
by 5
caesar 1
cairo 1
can 1
cannot 1
car 1
care 1
certain 1
chases 1
chooses 1
claims 2
cleopatra 10
coherent 1
comes 3
coming 1
committed 1
conquest 1
conscious 1
consequences 1
consideration 1
consultation 1
consumed 1
convinced 1
could 1
counsel 1
country 1
covering 1
crash 1
craves 1
crypt 1
current 1
damage 1
damned 1
dead 1
death 1
decide 1
deep 1
defiance 1
depression 1
dies 1
doctor 1
drink 1
drinks 1
drunkard 1
during 2
dying 2
each 1
eager 1
egypt 3
egyptian 1
egyptologist 1
elderly 1
elixir 9
elliot 1
elliott 3
encouraged 1
encouragement 1
english 1
entire 2
escape 1
eternal 1
eternally 1
eternity 1
even 3
events 1
eventually 1
evil 1
explosion 1
face 1
fallen 2
falls 1
falters 1
family 1
fiery 1
find 1
food 2
for 9
formula 1
found 1
frightened 1
from 3
girl 1
give 1
given 2
gives 2
gone 1
goodbye 1
grants 1
grief 1
had 8
halfformed 1
hands 1
harm 1
has 2
hatred 1
having 1
he 11
help 2
henry 8
her 14
him 10
himself 1
his 12
hit 1
hittite 1
holds 1
hot 1
however 1
human 1
immortal 3
immortality 1
impulsively 1
in 14
including 1
incomplete 2
independent 1
innocence 1
insane 1
instantly 1
intelligence 1
into 1
is 9
it 3
its 1
julie 8
julius 1
keep 1
kill 4
killing 2
kills 1
kings 1
language 1
last 4
later 3
lawrence 2
learn 2
learned 1
learns 1
leaves 1
life 5
like 1
living 1
london 1
longago 1
loss 1
love 5
made 2
maintain 1
manner 1
mark 2
may 1
miserably 1
modern 1
monster 1
monstrosity 1
more 1
mortality 1
multiple 1
mummy 3
murders 2
museum 2
name 1
neither 1
new 1
night 1
nor 2
normal 1
not 5
notes 1
nothing 1
number 1
nurses 1
oblivion 1
of 19
off 2
on 1
one 1
only 3
onto 1
or 1
other 3
parts 1
passed 1
passionate 1
past 3
people 1
person 1
pharaoh 1
physical 1
pleasures 1
poison 2
potion 2
pouring 1
pours 1
priestess 1
priests 1
prior 1
promises 1
pseudonym 1
punished 1
queens 1
quickly 3
ramses 24
ramsey 1
rantings 1
rays 1
reads 1
ready 1
realizes 1
realizing 1
recognizes 1
recover 1
refuses 1
regenerate 1
reginald 1
regret 1
reign 1
repairs 1
requires 1
restoration 2
revealed 1
revenge 1
revived 1
roman 1
romance 1
rose 1
ruler 1
same 1
savarell 1
save 1
say 1
scaring 1
score 1
seal 1
secret 2
secretly 1
secrets 1
see 1
seeks 1
serious 1
served 2
sex 1
she 6
should 1
simply 1
sleep 1
smoking 1
so 2
some 1
someday 1
son 1
stay 1
still 2
stratford 1
succeeds 1
such 1
sudan 1
suicide 2
sun 1
superhuman 1
survived 1
suspects 1
technology 1
terms 1
thank 1
that 11
the 44
though 2
thousand 1
throw 1
time 1
to 36
tomb 1
torso 1
totally 1
tour 1
trails 1
train 1
tries 1
truth 1
two 1
ultimately 1
uncle 1
under 1
underground 1
unexpectedly 2
unidentified 1
unusual 1
up 1
upon 2
vial 1
visit 1
visiting 1
vows 1
when 3
while 2
who 2
wishing 1
with 12
would 2
wounds 1
years 1
yet 1
