1163002
/m/04ckbf
/m/04ckbf
Sebastian Faulks

118 2
16 1
a 18
able 2
about 5
adopt 1
affair 2
after 5
all 1
alongside 1
also 3
always 1
amiens 1
an 7
and 47
anger 1
are 3
army 1
around 1
as 5
at 4
attack 3
attempts 1
attitude 1
aunt 1
away 2
azaire 9
azaires 2
back 2
bad 1
battle 1
battles 1
bears 1
beats 1
because 1
becomes 1
been 2
before 4
behind 1
being 3
believe 1
benefactor 1
between 3
birdsong 1
blamed 1
bombardment 1
book 1
boyfriend 1
brard 2
brennan 1
british 2
bullet 1
but 9
by 9
called 3
can 1
captain 1
caused 1
causing 1
chapter 2
character 1
child 4
class 1
clearly 1
closest 1
cold 1
come 1
comforts 1
committed 1
communicate 1
comradeship 1
concentrates 1
confesses 1
confronts 1
constant 1
continues 1
contrasts 1
convincing 1
cottage 1
could 1
countryside 1
cover 1
crossed 1
curious 1
deal 1
death 1
deceased 1
decides 1
decipher 1
deliberately 1
depiction 1
described 1
describes 1
die 1
dies 1
different 2
dinner 2
discovers 1
disempassioned 1
disfigured 1
distance 1
distant 1
does 1
doomed 1
dorset 1
down 1
dreads 1
due 1
during 4
early 1
echoes 2
elizabeth 6
else 1
embarrassed 1
employed 1
endeavours 1
ending 1
ends 4
enemy 1
energetic 1
engage 1
england 1
enjoy 1
epidemic 1
episodic 1
eroticconsolatory 1
eventually 1
ever 1
evicts 1
exchange 1
experiences 4
experiencing 1
exploding 1
express 1
eyes 1
face 1
factory 1
fail 2
faith 1
families 1
family 3
father 2
faulks 3
fears 1
feeling 1
feelings 1
feels 3
fight 1
fighting 1
finally 1
find 1
finding 1
finds 3
firebrace 3
firebraces 1
first 3
flees 1
focuses 1
following 1
foment 1
food 1
for 8
forever 1
forgiven 1
former 1
france 3
franoise 1
friend 2
friends 1
from 3
front 2
garden 1
german 4
gets 1
girl 1
gives 1
go 2
goes 1
going 1
granddaughter 2
grandfather 1
gray 2
grgoire 1
guarded 1
hardened 1
has 6
have 2
having 2
hawthorne 1
he 18
hears 1
hell 1
her 20
him 4
his 19
holiday 2
home 2
honour 1
how 3
however 1
hunt 1
i 2
immense 1
impossible 1
in 23
inability 1
industrial 1
influenza 1
injured 1
injury 1
inquisitive 1
inspired 1
instead 1
into 2
involved 1
is 29
isabelle 13
isabelles 4
it 2
jack 4
jeanne 4
jewish 1
john 2
journals 1
joy 1
keeping 1
killed 1
knows 1
labour 1
land 2
last 1
later 4
learn 1
learns 1
leave 3
leaving 1
lebrun 1
let 1
levi 1
lieutenant 1
life 4
line 2
links 1
lise 1
lisette 2
listen 1
lives 1
lonely 1
long 1
loses 1
love 1
loved 1
lucien 1
madame 1
made 1
main 1
maintained 1
make 1
makes 2
man 1
mans 1
many 2
marne 1
marriage 1
married 2
max 2
meeting 2
meets 2
men 3
mental 1
michael 2
middle 1
miner 1
mines 1
mistake 1
momentarily 1
more 2
most 1
mother 2
motivated 1
moves 1
ms 1
naming 1
narrative 1
no 4
norfolk 2
northern 1
not 2
nothing 1
novel 8
now 2
occasions 1
occurs 1
of 27
offers 1
officer 1
officers 1
old 1
on 6
one 3
only 1
out 2
over 2
owen 2
paralleled 1
part 1
particularly 1
passionate 1
period 1
periods 2
plant 1
poem 1
poets 1
postwar 1
pray 1
pregnancy 1
pregnant 2
premature 1
promise 1
raised 1
raises 1
reader 1
realises 1
realising 1
reciprocate 1
refuses 1
regarded 1
rejoin 1
relationship 3
relief 1
remaining 1
remarks 1
ren 1
rescued 1
researching 1
rest 1
return 2
returning 2
reveal 1
revealed 1
ridge 2
right 1
robert 4
round 1
rumour 1
run 1
sassoon 1
scarring 1
second 1
section 1
sections 1
seems 1
selfdetermination 1
senior 1
sense 1
senses 1
sent 1
set 1
settled 1
seven 1
several 1
she 6
shell 2
should 2
siegfried 1
similar 2
sister 3
sixty 1
snipers 1
so 1
soldier 4
soldiers 2
some 1
somme 2
son 3
soon 1
spends 1
split 1
stage 1
states 1
staying 1
stays 1
stephen 26
stephens 1
stirs 1
stories 1
story 3
strange 1
strike 1
structure 2
struggling 1
substantially 1
such 1
suffocate 1
suggestive 1
supportive 1
surprisingly 1
survives 2
talks 1
tell 1
telling 2
tells 2
terrified 1
textile 1
than 1
that 14
the 65
their 3
them 4
then 1
there 3
therefore 1
they 3
this 5
threaten 1
three 2
through 1
throughout 1
time 3
to 33
told 1
trap 1
trapped 2
trench 1
trenches 4
troops 1
truth 1
tunnels 1
under 2
underground 3
unearths 1
unease 1
unrest 1
verdun 1
veterans 1
walking 1
war 13
was 1
ways 1
we 2
wealthy 1
weir 3
were 1
when 2
where 1
which 7
while 2
whilst 2
white 1
who 4
wife 1
wilfred 2
will 4
winter 1
with 17
without 1
work 1
workers 3
world 2
would 1
wraysford 3
writes 2
year 1
years 3
younger 1
ypres 1
