31623
/m/07s8w
/m/07s8w
Lewis Carroll
1871
{"/m/0dwly": "Children's literature"}
a 30
ability 2
able 2
about 4
abruptly 1
absentminded 1
accompanied 1
across 2
act 1
acting 2
advance 2
adventures 1
after 2
again 1
agile 1
alice 28
all 6
allowed 1
along 2
also 2
alternative 1
an 3
and 28
anglosaxon 1
annoys 1
another 3
any 2
are 4
armchair 1
arrives 1
as 7
assistance 1
at 6
attempts 1
attention 1
author 1
automatically 1
awakes 1
away 2
awkwardness 1
banter 1
battle 1
be 5
been 4
before 2
begin 1
begins 2
behind 1
being 1
believing 1
besides 1
bidding 1
black 2
boarding 1
boasts 1
book 3
bookinto 1
both 1
breathtaking 1
brief 1
brook 4
brookcrossing 1
brothers 3
but 3
by 12
called 1
calls 2
can 4
capturing 2
carpenter 1
carroll 1
cat 1
cease 1
celebrating 1
change 1
chaotic 1
chapter 1
checkmate 1
chess 4
chessboard 3
climbing 1
clumsiness 1
cold 1
come 2
comes 1
company 1
composition 1
concept 1
confound 1
countryside 1
crabs 1
crossing 4
crow 1
crown 1
crowned 2
day 1
deduces 1
demonstrates 1
dinah 1
direction 1
directly 1
discovers 1
discussion 1
draw 1
dream 2
dreams 1
dumpty 2
each 1
eccentric 1
eighth 1
elsewhere 1
encounters 1
ending 1
ends 1
enormous 1
enough 1
enters 1
entire 1
epilogue 1
escorting 1
events 1
everything 1
exist 1
exists 1
fact 1
fall 1
falls 1
famous 1
farewell 1
fat 1
feathers 1
fifth 1
fight 1
fighting 1
figment 1
figure 1
final 2
finally 2
find 1
finds 3
fireplace 2
first 3
flower 1
flowers 1
for 4
forest 1
forested 1
fourth 1
frightened 1
from 1
future 1
garden 2
gigantic 1
given 1
grabs 1
guise 1
had 2
haigha 1
handle 1
happened 1
hare 2
has 1
hatta 1
hatter 1
hatterthese 1
have 5
having 1
he 1
head 1
her 17
herself 6
hint 1
his 6
holding 2
horsehis 1
horses 1
hosted 1
house 2
human 1
humansized 1
humpty 2
identities 1
idle 1
ie 1
if 1
illustrations 1
imaginary 1
imagination 1
immediately 1
implying 1
impresses 1
in 21
inevitable 1
inserted 1
instant 1
intent 1
interpreted 1
into 5
introducing 1
invite 1
is 13
it 3
itself 1
jabberwocky 2
jargon 1
john 1
joke 1
journey 1
jumps 1
king 5
kingloudly 1
kingwho 1
kitten 4
kittythe 1
knight 4
knights 1
knowledge 1
knows 1
laid 1
last 1
leaving 2
lewis 1
life 3
like 3
lion 2
literally 1
logical 2
long 2
lookingglass 1
lshaped 1
make 2
making 1
maliciously 1
mantel 1
march 1
match 1
materialising 1
may 2
meaningful 1
meets 3
men 1
messengers 1
might 2
mirror 3
moment 1
more 1
most 1
move 4
movements 1
much 1
names 1
naturally 1
nearby 1
newly 1
next 1
night 1
no 2
nonsense 1
nonsensical 1
now 1
number 1
nursery 3
nurseryrhyme 1
oars 1
observes 1
of 25
off 1
offers 1
offspring 1
on 6
once 1
one 3
only 4
other 3
out 3
over 2
own 5
party 2
pawn 1
pawns 2
perceive 1
perfectly 1
philosophical 1
physical 1
pick 1
pieces 2
placed 1
play 1
playing 1
poem 3
poetry 1
pokes 1
ponders 1
portmanteau 1
power 1
predicts 1
printing 1
prior 1
proceed 1
process 1
provides 1
provoke 1
puts 1
queen 12
queens 2
queensheep 1
quickly 1
rank 5
rankrow 1
reaches 1
read 1
reader 1
real 1
reappearance 1
recalling 1
recites 1
reciting 1
red 11
reference 2
reflected 1
reflection 1
relentlessly 1
remain 1
remained 1
remember 1
repeatedly 1
rescue 1
responsible 1
reveals 1
reversed 1
rhyme 3
row 1
rowboat 1
rowingand 1
rule 2
run 1
seats 1
second 1
seemingly 1
selfdeprecating 1
seventh 1
shaking 1
she 16
sheep 2
shop 1
shouting 1
side 1
sixth 1
small 3
snoring 1
snowdrop 1
snowy 1
soon 2
sort 1
spaces 1
speaking 1
speculation 1
speech 1
speedsa 1
spring 1
squares 2
stammering 1
standard 1
stationary 1
step 1
steps 1
story 1
strange 1
struggling 1
suddenly 1
suggests 1
suiting 1
sunny 1
surprise 1
talking 1
tenniel 1
terms 2
territory 1
than 2
that 13
the 92
their 4
them 2
then 2
thereby 1
these 1
they 4
third 1
this 2
though 1
through 2
throughout 1
thus 2
thwart 1
to 33
together 1
towards 1
train 1
transforms 1
translation 1
treeand 1
turns 1
tweedle 1
tweedledee 1
tweedledum 1
tweedles 1
twin 1
two 1
unbirthday 1
under 1
unicorn 2
unknowingly 1
unknown 1
until 1
up 6
upon 2
uproar 1
using 1
vacant 1
version 1
very 2
violently 1
wake 1
wakes 1
wallhung 1
walrus 1
way 2
what 1
where 3
which 4
white 11
who 6
whom 4
whose 1
will 2
with 9
wonderlandwhen 1
word 1
words 1
world 2
yet 1
