11673196
/m/02rnhg2
/m/02rnhg2
Alastair Reynolds
2008-04-17
31st 1
32nd 1
a 31
abeyance 1
abigail 1
able 1
aboard 2
accidental 1
accompanies 1
action 1
actually 1
advanced 2
after 2
against 2
ages 1
ago 1
agree 1
air 2
alive 1
all 2
along 1
also 1
alternating 1
amalgamation 1
ambush 6
ambushers 1
amongst 1
an 5
ancient 1
and 49
andromeda 6
announces 1
another 4
any 1
apparently 2
approach 1
are 10
as 7
ashamed 1
ask 1
assistance 1
at 2
ateshga 2
attack 1
attackers 1
away 1
back 1
backup 1
barely 1
battle 1
be 5
because 1
been 1
before 7
begins 1
being 3
believes 1
between 1
bewildered 1
bid 1
board 1
both 2
bridge 3
but 2
by 10
cadence 9
called 1
campion 17
can 1
captive 1
capture 1
captured 1
carried 1
cascade 11
century 1
change 1
chapter 3
circuit 1
civilisations 1
civilization 1
cloning 1
commences 1
commonality 2
compared 1
computer 1
concealed 1
concerns 1
confederation 1
confirm 1
conspiracy 1
contact 1
contains 1
control 1
could 2
created 1
creation 1
critically 1
cyphel 1
days 1
deciding 1
delays 1
depart 1
departing 1
despite 3
destroy 2
destroyed 1
detain 1
detour 1
devoid 1
discovered 1
distress 1
divided 1
done 1
dubbed 1
during 3
each 3
earlier 2
early 1
effecting 1
efforts 1
eight 1
eject 1
emergency 1
emerges 1
encased 1
enclosing 1
encounter 1
enemy 1
engaged 1
enters 1
erased 1
escapes 1
even 1
event 1
events 1
evidence 1
existed 1
existence 1
explains 1
extermination 2
fastest 1
fescue 2
few 3
fifty 1
find 2
fire 1
first 8
firstperson 1
fix 1
flashback 1
follow 1
following 1
for 8
forgotten 1
form 2
forties 1
four 1
free 1
from 7
frowned 1
fuels 1
functioning 1
gain 1
gained 1
galaxy 4
galingale 3
genocide 2
gentian 9
gentians 2
get 1
getting 2
give 2
going 1
golden 1
good 1
grabbing 1
gravely 1
greeted 2
group 1
guests 2
hack 1
had 3
hand 1
has 1
have 4
having 1
he 5
help 2
her 5
hersperus 2
hesperus 16
hideout 1
hiding 1
hijacked 2
hijacking 1
him 7
himself 1
his 5
historical 1
hold 1
homunculus 1
hook 1
hope 2
hopes 2
horrified 1
hostile 1
house 2
however 2
huge 1
humans 1
hundreds 1
identity 1
if 1
immediately 1
in 26
information 2
injured 1
inside 1
intent 1
interrogation 1
into 4
involved 1
is 17
it 6
its 1
itself 1
keeping 1
kin 1
knowledge 2
known 2
landing 1
lands 1
last 1
lasting 1
late 2
lateness 1
later 1
launch 1
leads 1
leave 3
left 1
let 1
life 3
light 1
line 10
lines 2
local 1
longvanished 1
look 1
machine 7
machineintelligence 1
machines 5
made 1
maintaining 1
majority 1
make 2
manage 3
managed 1
marathon 1
may 2
mechanical 1
meet 1
meeting 1
member 2
members 2
memories 2
midst 1
milky 1
million 2
more 1
morning 3
most 1
murdered 1
must 1
mysteriously 1
named 1
narrated 1
narrative 1
neume 5
neumean 1
news 1
next 1
no 1
nonhuman 1
not 2
novel 1
now 2
numbering 1
of 43
off 2
offers 1
old 2
on 13
one 1
only 3
open 1
opening 1
or 1
orbiting 1
order 1
ordered 1
ostensibly 1
other 6
others 1
out 2
over 2
own 2
part 1
parts 1
party 1
passage 1
people 7
perspective 1
pertaining 1
physically 1
pieced 1
place 1
plan 1
planet 4
planning 1
platonic 1
pointless 1
posthuman 2
powerful 1
preparations 1
preparing 1
present 1
previous 1
primary 1
prior 1
prisoners 2
process 1
promise 1
protect 1
punishable 1
punishing 1
purslane 22
purslanes 1
pursues 1
pursuing 1
pursuit 3
put 1
quickly 1
race 1
racing 1
range 1
reaching 3
records 1
regrouping 1
relationship 1
release 1
remaining 1
remains 1
replacement 1
representation 1
rescue 3
rescued 1
responsible 1
retreated 1
return 2
returning 1
returns 1
reunion 6
revealed 1
reveals 1
revenge 1
robot 2
robots 5
roughly 1
sacrificed 1
sarcophagus 1
search 1
secret 1
seeking 1
sentient 2
separate 1
several 4
shadow 1
shatterling 4
shatterlings 7
she 2
ship 15
ships 2
should 1
shown 1
signal 1
silver 3
single 1
six 1
sixty 1
slowdown 1
smaller 1
so 1
society 1
solids 1
some 2
spacetimebending 1
spirit 3
spread 1
springs 1
star 2
stardam 1
stasis 1
states 1
still 5
stillliving 1
stop 2
storyline 1
structure 1
subsequent 1
succeeds 1
sudden 1
suddenly 1
suns 2
supposedly 2
sure 1
survived 3
survivors 4
suspended 1
system 2
tables 1
take 3
taken 1
takes 1
taking 3
tasked 1
technology 1
tells 1
temporal 1
terms 1
that 13
the 124
their 8
them 7
then 2
there 2
they 12
this 3
though 2
thousand 2
through 1
thus 1
time 2
to 49
together 2
too 1
took 1
towards 1
traitor 2
transfer 1
transgressions 1
transmissions 1
travelling 1
travels 1
tricked 1
trip 1
trust 1
turn 1
two 4
unable 2
uncovered 1
unfortunately 1
unknown 1
unwittingly 1
up 1
upon 2
used 1
using 1
various 1
via 1
vicious 1
warning 1
was 5
way 4
weapons 2
weaponsmonstrous 1
were 2
what 2
where 2
which 6
while 3
whisked 1
who 4
will 4
wings 3
wiped 1
with 8
within 2
world 2
wormhole 4
wormholes 1
wounded 1
years 5
