19782194
/m/04q9zmj
/m/04q9zmj
Andrew Clements
2008
17 1
a 1
about 2
alicia 5
also 1
always 1
an 2
and 5
annoys 1
argue 1
around 1
arrest 1
because 1
between 1
blanket 1
bobby 3
brain 2
by 1
calls 1
centers 1
chicago 1
coming 1
courage 1
daughter 1
earlier 1
electric 1
exchanges 1
fairy 2
fbi 1
followed 1
friend 1
from 1
he 1
help 1
her 3
him 1
his 2
home 1
in 3
includes 1
intervene 1
invisible 1
is 1
journey 1
learned 1
main 1
man 1
montreal 1
names 1
new 1
of 2
old 1
on 1
out 1
over 1
plot 1
present 1
previous 1
reader 1
reassurance 1
return 1
returns 1
self 1
series 1
short 1
start 1
starts 1
state 1
story 3
the 8
then 2
they 1
to 6
topicthe 1
unknowningly 1
use 1
visit 1
warrant 1
was 1
which 1
who 1
wife 1
william 4
with 1
year 1
york 1
