24322212
/m/047m6rz
/m/047m6rz
Cherith Baldry
2008-05-27
a 16
abandoning 1
abandons 1
about 5
adventure 1
after 1
against 1
alone 1
although 1
an 1
and 11
are 1
area 1
around 1
as 1
asks 1
at 2
attacks 1
back 1
bear 8
bears 3
because 1
black 2
bowl 2
break 1
bring 1
bringing 1
brother 4
brought 1
brown 2
but 2
by 2
canada 2
catch 1
certain 1
couldnt 1
crash 1
cubs 1
dangers 1
day 2
decides 2
despite 1
died 1
does 1
dreams 1
end 1
escaping 2
father 1
female 1
find 1
first 1
follows 2
for 1
four 1
gathering 2
go 1
group 1
harsh 1
has 2
have 1
he 1
hearing 2
helicopter 1
helps 1
her 8
herbs 1
herself 1
himself 1
his 4
how 3
however 3
human 2
ice 2
idea 1
if 1
in 6
injured 1
insanity 1
into 1
introduces 1
is 9
it 1
just 1
kallik 11
killed 1
killer 1
king 1
knowing 1
late 1
like 1
lived 1
lives 1
living 2
lusa 8
meet 1
meets 2
melts 1
mental 1
message 1
mom 4
mother 2
mountains 1
much 1
must 2
named 1
nanuk 3
never 1
no 1
novel 2
now 1
of 4
off 1
on 3
once 1
one 3
other 1
outside 1
own 2
pampered 1
place 3
polar 3
randomly 1
realises 1
regretted 1
requests 1
retrieve 1
river 1
rocky 1
salmon 1
seen 1
separated 1
sets 1
shapeshifter 2
she 4
shipping 1
sickly 1
somewhere 1
sorry 1
southern 1
story 1
strongly 1
succeeds 1
survive 2
talks 1
teach 1
tells 1
that 4
the 18
them 3
they 2
this 3
to 10
together 1
toklo 11
told 1
too 1
travel 1
two 1
ujurak 3
up 1
usually 1
wandering 1
was 1
whales 1
when 1
where 1
which 1
who 4
wild 3
wilderness 1
with 3
zoo 1
