1041118
/m/040t1c
/m/040t1c
Colm Tóibín

{"/m/05hgj": "Novel"}
a 4
again 1
aids 1
and 4
are 1
as 2
asks 1
been 1
between 1
brother 1
buried 1
challenge 1
child 1
children 1
conflicts 1
contact 1
correct 1
day 1
death 1
declan 2
deeply 1
deliver 1
described 1
due 1
either 1
exists 1
father 1
follows 1
for 2
forced 1
from 1
grandmother 1
had 1
has 2
he 1
helen 3
her 5
homosexual 1
husband 1
in 2
ireland 1
is 2
journey 1
learns 1
living 1
meet 1
minimal 1
misunderstanding 1
mother 1
must 1
news 1
novel 1
of 2
one 1
order 1
overcome 1
painful 1
past 1
presents 1
principal 1
refused 1
relating 1
sake 1
school 1
she 3
story 1
struggles 1
successful 1
sudden 1
sufferer 1
take 1
tell 1
that 2
the 7
their 1
them 1
then 1
these 1
they 2
this 1
three 1
to 7
two 1
until 1
viewpoint 1
was 1
when 1
who 1
with 2
woman 1
women 1
years 1
