8287432
/m/026z3b0
/m/026z3b0
Joan Slonczewski

{"/m/06n90": "Science Fiction"}
a 9
able 1
accepted 1
add 1
affects 1
after 1
alison 1
allison 1
already 1
an 1
and 6
announces 1
are 7
as 5
aspects 1
assumed 1
bad 1
be 2
been 1
begin 1
begins 1
between 1
body 1
boyfriend 1
brink 1
brought 1
but 2
by 6
catch 1
center 1
century 2
chapter 1
charge 1
chemical 1
citizen 1
collective 1
commensals 2
connaught 1
consciousness 1
contact 1
contacted 2
credometers 1
culture 2
david 1
destroy 1
destroyed 1
develop 1
difficulty 1
doing 1
dwellers 1
dwelling 3
earth 3
expedition 1
faith 1
fear 1
final 1
finish 1
follow 1
for 1
foxfield 5
foxfielders 9
friction 1
friends 1
from 1
games 1
given 1
go 1
has 1
have 4
head 1
her 1
history 1
hostile 1
human 1
identity 1
in 5
inhabitants 1
inhabited 1
inhospitable 1
initially 1
insisting 1
integrating 1
intends 1
interplanetary 1
into 1
irrevocably 1
is 4
it 2
its 2
jungle 1
kept 1
killed 1
known 1
later 1
learn 1
left 1
life 1
like 1
lost 1
made 2
main 1
maintaining 1
majority 1
makes 1
masseswhile 1
matters 1
mdash 2
members 1
mind 1
months 1
mount 1
mysterious 1
nations 1
natives 1
new 1
newcomers 1
not 3
nuclear 1
observing 1
occurred 1
of 8
old 1
on 7
one 4
only 1
or 1
own 1
part 1
past 1
people 3
persuade 1
plan 1
planet 3
possible 2
preservation 1
quakers 1
rather 1
realizing 1
reduced 1
religion 1
representatives 1
reveals 1
satellites 1
secretly 1
set 1
seth 1
settlement 1
ship 1
shock 1
shows 1
slowly 1
so 1
societies 1
society 2
some 1
son 1
soon 2
space 1
span 1
structure 1
such 1
surprising 1
survival 2
talents 1
technical 1
technology 1
that 5
the 31
their 4
them 1
they 3
thorne 1
thought 1
through 1
to 13
twelve 1
understanding 1
uni 10
united 1
up 1
violent 1
voting 1
war 2
was 2
welcomed 1
well 1
were 1
when 2
which 1
while 2
who 6
whose 1
widow 1
will 1
with 2
without 1
worn 1
wristwatches 1
year 1
years 1
