5501173
/m/0dpp7h
/m/0dpp7h
Joseph Conrad
1901-12

a 12
after 1
america 1
amy 5
an 1
and 8
area 1
as 2
asking 1
assistance 1
at 1
been 1
begins 1
behavior 1
by 3
calls 1
carpathian 1
central 1
child 1
coast 1
community 1
cottage 1
couple 1
dangerous 1
dies 1
disapproval 1
disturbing 1
eccentric 1
emigrant 1
employment 1
england 1
english 3
europe 1
eventually 1
explains 1
failure 1
falls 2
fever 1
first 1
flees 1
for 3
foreign 1
foster 1
frightened 1
frightens 1
from 4
girl 1
given 3
goorall 2
granddaughter 1
had 1
hailed 1
hamburg 1
has 1
have 1
having 1
he 4
heart 1
hence 2
her 1
him 4
his 8
ill 1
in 6
is 3
it 1
john 2
johnny 1
kindness 1
language 4
later 1
learns 1
life 2
little 3
live 1
local 1
love 1
madman 1
marry 1
means 1
months 1
morning 1
mountain 1
mountaineer 1
mountains 1
mr 1
name 1
narrator 1
native 2
nearby 1
next 1
no 2
of 7
off 1
offer 1
old 1
particularly 1
poor 1
possibility 1
pray 1
raving 1
regard 1
rendered 1
resident 1
residents 1
reveals 1
sailing 1
saved 1
servant 1
several 1
severely 1
shelter 1
shipwrecked 1
shown 1
simple 1
simply 1
sinking 1
some 1
son 2
speaks 1
spelling 1
story 1
strange 1
suffering 1
surname 1
survivors 1
swaffer 2
takes 1
teach 1
that 4
the 8
their 2
them 1
they 2
to 5
tramp 1
transpires 1
troubled 1
trying 1
unaware 1
villages 1
was 1
water 1
who 1
whom 1
with 2
woman 1
yanko 10
