2448990
/m/07dwbl
/m/07dwbl
Salman Rushdie
2005-09
1521 1
200 1
2005 1
3414 1
a 14
account 1
affair 1
affection 1
afghanistan 1
age 1
agree 1
all 1
although 1
ambassador 2
ambassadorship 1
american 2
an 2
and 15
angeles 1
apart 1
appointment 2
aristocrat 1
around 1
as 2
assassin 1
assistant 1
at 1
authorities 1
automobile 1
battleground 1
bear 1
beautiful 1
becomes 4
betrayal 1
blooms 1
boonyi 5
british 1
brought 1
bugatti 1
but 1
by 2
camp 1
caught 1
cause 1
central 1
character 1
chauffeur 1
child 2
clown 2
come 1
comes 1
company 1
concentration 1
couldnt 1
counterterrorism 1
day 1
death 1
deeply 1
delhi 1
diplomat 1
doesnt 1
driver 1
earned 1
elders 1
enamored 1
england 1
enough 1
erupts 1
escape 1
evades 1
eventually 3
exact 1
except 1
falls 1
fictionalized 1
fine 1
flashbacks 1
flat 1
following 2
for 2
forced 1
former 2
france 1
french 1
from 2
full 1
gets 2
girl 1
groups 1
had 1
has 1
he 7
help 1
her 3
hero 1
him 1
his 11
home 1
how 1
httpwwwlistenerconzissue3414artsbooks4851neverenoughhtml 1
illegitimate 1
important 1
in 15
incidents 1
india 5
insurgent 1
intention 1
is 6
its 1
jihadi 1
joins 1
kashmir 3
kashmiri 2
killing 1
laughter 1
leads 1
learns 1
leaves 1
life 1
listener 1
lived 1
lives 1
los 1
love 3
major 1
marriage 1
marries 1
max 3
maximilian 4
middle 1
ming 1
mok 1
more 1
murdered 1
murders 1
name 1
named 1
narratives 1
nazi 1
nazistze 1
never 1
new 1
no 1
novel 2
number 1
october 1
of 15
on 3
once 2
one 1
opens 1
ophuls 2
organisations 1
pachigam 1
pandit 1
paradise 1
parents 1
past 1
people 1
philippines 1
plays 1
politics 1
portrays 1
pregnant 1
purpose 2
raised 1
readers 1
receives 1
relation 1
remain 1
renown 1
renowned 1
resigns 1
resistance 1
rest 1
return 1
returns 1
revenge 1
revolve 1
ripped 1
role 3
rope 1
scandal 1
seems 1
several 1
shalimar 6
skill 1
small 1
states 1
story 1
stuck 1
subcontinent 1
take 2
than 1
that 4
the 37
things 1
this 3
those 1
tight 1
to 13
training 1
turn 1
unhappiness 1
united 1
unspecified 1
up 1
us 1
usa 2
vague 1
valley 1
various 1
village 5
vol 1
want 1
war 1
was 3
were 1
when 2
who 1
wife 1
with 5
worked 1
young 1
zealand 1
