12802272
/m/02x5kqf
/m/02x5kqf
Carolyn Parkhurst
2003-06-13
{"/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 20
able 1
about 3
accident 1
adolescence 1
after 1
alexandra 1
allow 1
alone 1
also 1
altered 1
although 1
an 4
and 21
animal 1
anomalies 1
answering 1
apple 2
arabelle 2
are 1
as 4
at 5
attempts 2
back 1
bark 1
be 3
been 1
book 2
books 1
both 1
bothered 1
bought 1
brooklyn 1
but 6
butcher 1
by 6
called 1
calling 1
canine 1
case 1
cause 1
cerberus 2
charge 1
circumstances 1
cites 1
clay 1
clear 2
closure 1
collar 1
college 2
come 1
comes 1
commercial 1
committed 1
communication 1
constantly 1
continues 1
cooking 1
could 1
crusade 1
cut 1
date 1
dead 1
death 2
declare 1
dedicated 1
dedicates 1
delivered 1
depression 2
did 1
directed 1
disappointed 1
disney 1
dog 5
doing 1
egg 1
ends 1
english 1
especially 2
even 2
eventually 1
evidence 1
examines 1
excited 1
eyes 2
fact 1
fallen 1
falls 1
featured 1
finally 2
find 2
finding 1
finds 4
first 5
flees 1
flesh 1
for 3
from 4
gave 1
getting 1
goes 3
gone 1
gotten 1
gray 1
greater 1
grieving 1
group 1
had 1
happy 1
hardboiled 1
has 5
have 2
he 23
hearing 2
heart 1
her 6
him 3
his 11
hollis 2
home 3
hopes 2
horrified 1
hotline 1
house 1
how 2
human 1
i 3
id 2
ideas 1
idly 1
in 13
informed 1
into 1
intrigued 1
is 18
it 5
its 1
iverson 1
j 2
job 2
kidnapped 2
knew 1
know 1
known 2
lack 1
lady 2
larynx 1
learned 1
learning 1
learns 1
leaves 1
left 2
letter 2
lexy 12
lin 1
linhad 1
lives 1
living 1
long 1
lorelei 8
made 1
make 1
makes 1
man 1
masks 2
meeting 2
men 1
message 2
met 1
methods 1
mold 1
more 1
mourn 1
mutilated 1
my 1
mystery 1
named 1
neighborhood 1
never 1
no 1
not 2
note 1
now 3
oblivious 1
of 17
officer 1
on 3
one 1
only 2
order 1
out 2
own 1
past 1
paul 18
phone 1
place 1
podium 1
police 3
pregnant 1
presented 1
prison 1
progress 1
prominently 1
psychic 2
put 2
question 1
quote 1
raid 1
ransome 1
reaches 1
reader 1
reading 1
realizes 2
realizing 1
rearrangement 2
reclusive 1
recounts 1
remembers 2
remo 1
removed 1
response 1
rest 2
return 1
sale 1
say 1
sent 1
several 1
she 5
shelf 1
shelter 1
short 1
signs 1
single 2
so 1
society 4
someone 1
sounds 1
speak 4
square 1
steak 1
still 1
stone 1
stops 1
story 3
subtle 1
successful 1
such 1
suddenly 1
suggesting 1
suicide 1
surgically 1
suspected 1
taken 2
talked 1
tam 2
tarot 1
teach 3
tells 1
that 5
the 37
their 3
then 1
they 2
this 3
though 1
through 2
throughout 1
time 2
to 27
today 1
took 1
tree 2
true 1
two 1
unable 2
unhappy 1
up 1
use 1
voice 1
was 3
ways 1
wedding 2
week 1
wendell 2
what 3
when 5
where 2
who 3
whom 1
wife 5
will 2
with 1
witness 1
wonder 1
word 1
world 2
writes 1
yard 1
yesterday 2
youd 1
your 2
