11067599
/m/02qzxjh
/m/02qzxjh
Fredric Brown

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
alone 1
amazed 1
an 1
and 1
arcturian 1
are 1
as 1
astonished 1
astronauts 1
at 1
back 2
be 1
been 1
betty 2
but 2
catskills 1
coworker 1
crashes 1
credits 1
day 2
deceptively 1
deep 1
dollars 1
driven 1
elegant 1
encounters 2
engine 1
estate 1
experimental 1
explodes 1
failure 1
finally 1
first 1
for 1
friends 3
garden 1
get 1
girlfriend 1
girls 1
glamorous 1
go 1
has 2
have 1
he 5
him 1
his 7
how 1
if 1
in 4
is 7
it 1
journalist 1
keith 3
launch 1
launched 1
new 1
not 1
of 1
on 2
one 1
parallel 1
pinup 1
problem 1
replaced 1
residence 1
review 1
rocket 2
same 2
scantilyclad 1
sciencefiction 1
see 1
similar 1
solution 1
some 1
strange 1
stupor 1
suddenly 1
taking 1
the 6
their 1
thought 1
time 1
to 8
tries 1
understands 1
unfortunately 1
universe 1
usual 1
visits 1
when 5
who 1
whose 1
wildeyed 1
winton 1
with 1
world 1
york 1
