10858178
/m/02qs6qz
/m/02qs6qz
Erin Hunter
2005
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 8
about 1
accompanying 1
after 1
along 1
also 1
an 2
ancestors 1
and 11
apprenticed 2
as 2
back 1
badger 1
be 1
become 1
begin 2
book 3
bracken 1
brambleclaw 5
bramblepaw 1
burning 1
by 1
cat 1
cats 4
cavern 1
cinderpelt 4
clan 1
clans 1
comes 1
concludes 1
crowpaw 1
darkest 1
daughter 2
decides 1
destroy 3
die 1
direction 1
dream 1
dustpelt 1
dying 1
either 1
ends 1
enter 1
epilogue 1
eventually 2
feathertail 2
fire 2
firestar 3
for 1
forest 4
formerly 1
get 1
graystripe 1
had 1
has 3
have 1
helps 1
herbs 1
highly 1
his 2
home 1
hour 1
humans 2
in 4
inhabited 1
insists 1
intelligent 1
interprets 1
into 1
is 3
journey 2
keep 1
kits 1
known 1
later 1
lead 1
leafpaw 3
leave 1
listen 1
loner 1
mean 1
medicine 1
meet 1
midnight 3
months 1
moonrise 1
must 2
name 1
named 2
new 1
next 1
ocean 1
of 5
old 1
ominous 1
on 2
or 1
passed 1
picture 1
place 1
previous 1
protect 1
purdy 1
reach 1
received 1
respectively 1
reveals 1
running 1
sandstorm 1
say 1
search 1
sends 1
separated 1
setting 1
share 1
she 2
short 1
since 1
sister 2
six 2
some 1
son 2
squirrelpaw 5
starclan 2
stormfur 1
sun 1
sundrown 1
sundrownplace 1
tags 1
tawnypaw 1
tawnypelt 1
tells 2
territory 1
that 6
the 24
their 2
them 3
they 4
through 1
thunderclan 2
tiger 2
tigerstar 2
to 14
train 1
trek 1
two 1
unknown 1
warning 3
warrior 2
what 1
where 1
which 1
while 1
who 3
will 3
with 3
world 1
