5667777
/m/0dz3v3
/m/0dz3v3
Glen Cook
1999-03
a 4
against 1
and 4
arrive 1
as 1
beneath 1
black 1
bones 1
both 1
brings 1
climax 1
company 5
conflagration 1
cook 1
cycle 1
death 1
deceivers 1
disaster 1
epic 1
fellow 1
fights 1
for 1
free 1
glittering 1
goddess 1
guerilla 1
held 1
her 1
history 1
in 4
is 2
just 1
last 1
latest 1
leadership 1
machinations 1
magical 1
major 1
most 1
of 8
out 1
pitted 1
plain 1
power 1
regroup 1
remaining 2
reveal 1
saga 1
set 2
shadowmaster 1
sleeping 1
sleeps 1
sorceress 1
soulcatcher 1
stasis 2
subtle 1
survivors 1
taglios 1
that 1
the 14
their 1
they 1
time 1
to 2
war 1
warriors 1
water 1
while 1
will 1
with 1
world 1
