10787794
/m/05c5xtx
/m/05c5xtx
Yasutaka Tsutsui
1976
{"/m/06n90": "Science Fiction", "/m/07s9rl0": "Drama"}
24 1
2660 1
a 7
ability 1
accident 1
accidental 1
accurately 1
ad 1
after 2
again 1
all 1
an 1
and 7
are 1
around 1
as 2
asakura 1
assumed 1
at 2
back 2
believe 1
book 1
burning 1
but 1
car 1
classmates 1
cleaning 1
convinced 1
day 1
days 2
determination 1
dont 1
drug 1
earthquake 2
effect 1
enables 1
ends 1
ensuing 1
erases 1
events 1
every 1
everyone 1
exact 1
experience 1
explains 1
faint 1
faints 1
falls 1
finally 1
fire 1
first 1
for 1
four 1
friend 1
from 2
fukamachi 1
fukushima 1
girl 1
gor 3
has 3
he 4
her 7
him 1
himself 1
his 1
hours 1
house 1
identity 1
in 2
including 2
intersection 1
into 1
is 4
kazuko 8
kazuo 3
ken 2
lab 1
lavender 1
lavenderlike 1
leap 2
leaves 1
life 1
love 1
make 1
man 1
meet 1
meets 1
memories 1
memory 1
met 1
middle 1
moment 1
month 1
morning 1
must 1
mysterious 1
new 1
next 1
of 6
past 1
power 1
predicts 1
promising 1
really 1
relates 1
relives 1
remains 1
riddle 1
room 1
scent 1
school 2
science 3
she 6
smells 2
sogoru 1
solve 1
somebody 1
strange 2
student 1
teacher 1
teleportation 1
the 14
their 1
they 2
thirdyear 1
three 1
time 1
timeleap 1
timeleaping 1
timetraveler 1
to 4
transpire 1
transported 1
when 3
who 1
with 3
yoshiyama 1
