243087
/m/01k89d
/m/01k89d
Agatha Christie

{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 5
abc 2
alexander 1
all 1
alphabetical 1
an 1
and 2
as 1
attacks 1
be 1
blackouts 1
blow 1
bonaparte 1
could 1
crimes 1
cust 2
day 1
down 1
during 1
employs 1
epileptic 1
eponymous 1
had 1
has 1
he 1
head 1
headaches 1
in 3
innocent 1
is 1
killer 2
kills 1
letters 1
locations 1
method 1
military 1
murder 1
named 1
nicknamed 1
occurred 1
of 1
on 2
order 1
people 1
poirot 2
prone 1
result 1
salesman 1
seemingly 2
serial 1
service 1
story 1
stranger 1
suffered 1
taunts 1
the 5
this 1
to 3
track 1
travelled 1
travelling 1
unconnected 1
unconventional 1
veiled 1
when 1
