22765663
/m/05zlyvm
/m/05zlyvm
Lance Parkin

140000 1
2005 1
a 10
aboard 1
accompanied 1
actually 3
adventures 1
africa 1
after 1
against 1
alien 3
alive 1
allies 1
along 1
also 2
an 2
ancient 1
and 19
angry 1
anji 1
another 2
anyone 1
apparently 1
are 1
as 4
at 1
attack 1
attempt 1
back 2
backdrop 1
battle 1
be 6
becomes 1
been 4
before 1
begun 1
behind 1
being 1
beyond 1
blames 1
books 1
both 1
brain 1
brings 1
brought 1
built 1
but 3
by 1
captive 1
cataclysm 1
chemical 1
claiming 1
claims 2
cold 1
companion 3
compassion 1
computer 2
confident 1
confront 1
considerable 1
containing 1
contents 1
could 3
dalek 1
data 1
day 1
dead 3
dealt 1
decide 1
destroying 1
destruction 3
dies 3
discovers 3
doctor 17
done 1
downloaded 1
earth 2
eighth 2
end 1
entire 1
erased 1
event 1
ever 1
every 1
explosion 1
false 1
fighting 1
first 1
fitz 6
for 4
former 3
fortune 1
found 1
from 5
fusion 1
gain 1
gallifrey 7
gallifreyan 1
grave 1
group 1
guts 1
had 4
has 4
have 2
he 3
heart 1
heavily 1
help 1
hero 1
hidden 1
him 4
his 9
history 3
hive 1
homeworld 1
horizon 1
however 2
human 1
humans 1
hundred 1
if 1
ii 1
implied 1
in 4
including 1
information 2
insectoid 1
interfering 1
interior 1
into 2
invade 1
invasion 1
invisible 1
is 4
it 3
job 1
jones 1
just 1
k 2
kapoor 1
kill 1
killed 1
kreiner 1
lady 1
last 1
leaps 1
leave 1
leaves 2
life 2
living 2
lord 2
lords 4
lost 1
macmillan 1
make 1
makes 1
manipulate 1
mark 1
market 1
marnal 4
mars 1
massive 1
materialising 1
matrix 1
memories 1
memory 2
mental 1
millions 1
mind 1
missing 1
mondova 1
more 1
must 1
named 1
navy 1
network 1
never 1
normal 1
not 3
novel 1
of 13
on 5
once 1
or 1
orders 1
original 1
overthrows 1
own 1
owner 1
pair 1
passing 1
past 2
pauses 1
peace 1
planet 1
president 1
prevented 1
prevents 1
prior 1
problem 1
readjust 1
reason 1
reborn 1
reconstruct 1
regeneration 1
relationship 1
relative 1
remember 1
restored 1
returns 1
revealed 1
reveals 1
roman 1
romana 1
room 1
royal 1
sam 1
save 1
scans 1
sciencefiction 1
secretly 1
since 1
sophisticated 1
sprayed 1
still 1
stock 1
stops 1
such 1
sufficiently 1
suppressed 1
survived 1
takes 1
tardis 4
tells 1
than 1
that 9
the 56
their 3
them 3
this 1
threat 1
thus 1
time 8
to 17
traces 1
transpires 1
travel 1
travelling 2
travels 1
trix 7
trying 1
tyrant 1
uncertainly 1
up 1
used 1
versa 1
very 1
vice 1
victims 1
vore 7
wall 1
when 1
while 2
who 3
whose 1
why 1
will 1
with 8
world 1
wounded 1
writer 1
years 1
