13640640
/m/03ccqy7
/m/03ccqy7
Eileen Chang

a 2
actress 1
agreed 1
alias 1
and 5
assassination 1
be 1
before 1
befriends 1
central 1
chi 3
chia 3
china 1
collaborator 1
comrades 1
during 1
escapes 1
eventually 1
executed 1
falls 1
fictional 1
figure 1
former 1
group 1
has 2
he 1
her 2
him 4
however 1
husband 1
ii 1
in 5
including 1
japanese 2
just 1
kill 2
love 1
mak 3
mr 2
mrs 1
named 1
occupation 1
of 2
order 1
seduces 1
she 2
student 1
tai 4
the 6
to 3
try 1
using 1
war 1
warns 1
whole 1
wife 1
with 1
wong 2
world 1
yee 3
young 1
