5064508
/m/0d13cz
/m/0d13cz
Judy Blume
1990
a 13
able 1
about 2
accidentally 1
across 1
agree 1
also 2
always 1
and 15
apfel 1
archrival 1
are 1
art 1
as 2
ask 1
asks 1
at 1
baseball 2
be 1
because 3
being 1
between 1
big 1
bird 4
birds 1
book 3
boston 1
breathe 1
breather 1
breeder 1
brother 1
business 1
but 3
buzzy 1
by 2
called 1
calls 1
can 1
cannot 2
captain 1
catches 1
chickenpox 1
chosen 1
come 2
corrects 1
could 1
creepy 1
day 2
decide 1
different 1
disgust 1
disgusted 1
dismay 1
do 1
door 1
doorbells 1
drive 1
each 2
ellis 1
end 2
eventually 1
falls 1
families 1
family 1
fargo 3
father 1
feather 1
find 1
first 1
for 4
frank 1
friend 2
from 1
fudge 11
game 1
gets 1
girl 1
glove 1
goes 1
got 1
grandma 1
grandparents 1
grows 1
has 3
hatcher 3
hatchers 1
hate 1
have 1
he 7
helping 1
her 5
him 4
his 5
hours 1
house 1
houses 1
how 1
immediately 1
in 5
include 1
instead 1
is 7
isobel 1
it 3
jimmy 1
last 1
librarian 1
library 1
little 1
longer 1
looking 1
love 1
maine 2
married 1
marry 2
me 1
meets 2
met 2
mispronounces 1
missing 1
mitzi 8
monster 1
monsters 1
mouse 1
mr 1
much 2
muriel 1
myna 1
named 3
next 2
no 1
not 2
of 5
one 2
or 1
other 3
own 2
peter 10
place 1
plans 3
player 1
postpones 1
protect 1
quickly 1
rang 1
red 1
related 1
retired 1
romance 1
same 1
saying 1
scary 1
she 4
sheila 6
so 2
solved 1
sox 1
spend 1
sponsored 1
spray 1
spread 1
stop 1
story 1
subplots 1
summer 1
team 1
tell 1
ten 1
that 2
the 16
their 2
they 5
thinking 1
though 1
to 16
toddles 1
together 1
took 1
tootsie 1
towards 1
tubman 3
tubmans 1
unable 1
uncle 1
up 2
vacation 1
wanted 2
wants 1
was 1
wedding 1
week 1
weird 1
went 2
when 2
which 2
who 2
why 1
will 1
with 4
work 1
