22753864
/m/05zl1mt
/m/05zl1mt
Meg Cabot
2009-05-05
{"/m/03mfnf": "Young adult literature"}
3 1
a 17
about 3
accident 1
account 1
after 7
agrees 1
alcohol 1
alive 1
all 3
also 4
always 1
amnesia 1
an 1
and 29
angel 1
angels 1
annual 1
another 2
anything 1
apartment 3
are 4
around 1
as 4
asked 1
asking 1
asks 4
asleep 1
at 4
attracted 1
back 1
barely 1
bay 2
be 2
bedroom 1
been 4
began 1
begins 2
being 4
believe 2
believing 1
between 1
body 2
boss 1
both 1
boyfriend 2
brand 1
brandon 4
break 1
brother 1
bugged 3
bursts 1
but 7
by 3
call 1
can 2
cant 1
car 2
career 1
catwalk 1
cellphone 2
ceo 1
chokes 1
christmas 1
christopher 9
cliff 1
clinging 1
clothingis 1
come 1
comes 2
coming 2
commercial 1
completes 1
confesses 1
considers 1
convince 1
couldnt 1
dawns 1
death 1
decided 1
deodorant 1
destroy 1
did 1
discussion 1
doctor 1
document 1
does 2
doesnt 2
door 2
down 2
dr 3
drama 1
during 1
em 29
emailing 1
emails 1
emerson 1
employee 2
end 1
enterprises 3
enters 1
eve 1
even 1
eventually 1
explains 1
falls 1
family 2
fashion 1
fathers 1
feathers 1
felix 2
finally 2
find 1
finds 2
fine 1
fong 2
for 9
frida 1
from 4
front 1
fruit 1
gabriel 2
get 2
gets 2
girl 1
girlfriend 1
give 2
giving 1
go 5
gone 1
grandmother 1
greeted 1
group 1
hacking 1
had 3
has 3
have 2
having 1
he 15
heads 1
help 5
her 31
herself 2
hiding 1
higgins 1
him 6
his 9
hold 1
hotel 1
house 4
howard 2
ie 1
if 1
in 14
inappropriate 1
into 4
invited 1
invites 1
is 6
it 7
its 1
johns 1
jonathan 1
just 1
justin 7
keeps 2
kill 1
killing 1
kiss 1
kissing 1
know 1
knows 1
later 1
left 1
lied 1
life 1
lining 1
lives 1
loft 2
login 1
loved 2
lulu 2
luna 1
mainframe 1
man 3
meeting 1
megacorporation 1
message 2
messages 1
missing 1
model 2
models 2
mom 2
mother 3
mrs 1
must 3
mutters 1
name 4
named 1
neurosurgeon 1
new 1
news 1
nikki 9
nikkiand 1
not 1
notices 1
novel 1
now 1
nurse 1
of 12
off 1
office 1
old 1
on 5
onandoff 1
onto 1
other 2
otherwise 1
out 1
over 2
pain 1
pair 1
pairs 1
parts 1
party 2
password 3
person 2
picture 1
pile 1
places 1
plans 1
private 1
punch 1
queue 2
real 1
realization 1
realize 1
realizes 1
really 2
refuses 1
regretful 1
rehearsal 1
reluctantly 1
rescued 1
ripped 1
robert 1
rock 1
romantic 2
room 2
run 1
safe 1
said 1
saw 1
saying 2
says 5
see 3
seemingly 1
sees 3
sending 1
set 1
several 1
sharks 1
she 15
shoot 1
shortly 1
show 1
sister 1
site 1
so 2
some 1
son 1
soon 1
speak 1
st 1
stage 1
standing 1
stark 14
starts 1
stay 1
steven 4
stop 1
story 1
suddenly 1
summer 1
take 1
taken 1
takes 1
talk 1
tears 1
telling 1
tells 3
that 20
the 32
their 2
them 2
then 3
there 4
they 5
things 1
this 2
those 1
threatens 1
through 1
time 1
to 34
too 1
took 1
track 1
tracks 1
tries 1
trips 1
trying 1
turns 1
typing 1
unexpectedly 1
unwillingly 1
up 6
upcoming 1
us 1
user 2
using 2
veronica 3
vomiting 1
warns 1
was 9
wasnt 1
watch 1
water 1
watts 1
wearing 1
westchester 1
what 2
when 2
where 2
which 1
while 3
who 7
why 1
will 3
wings 2
with 6
word 1
wrote 1
year 1
