18301916
/m/04cqsxl
/m/04cqsxl
Jacqueline Woodson
2001
a 4
africanamerican 1
all 1
allowed 1
and 2
annie 1
arent 1
be 2
beside 1
both 1
but 1
climb 1
clover 3
cross 1
decide 1
decides 1
even 1
fence 6
first 1
for 1
friends 1
from 1
girl 5
girls 2
her 3
instructs 1
is 2
it 1
let 1
lives 1
lonely 1
mother 1
narrator 1
never 1
not 1
notices 1
of 4
on 3
one 1
other 4
outside 1
over 1
play 1
protagonist 1
raining 1
realize 1
seems 1
segregates 1
segregation 1
she 2
should 1
side 4
simply 1
sit 1
so 1
story 1
summer 1
symbol 1
talk 1
that 1
the 15
them 1
then 2
there 1
they 1
to 7
together 1
town 1
very 1
when 1
which 1
white 1
with 1
wont 1
young 1
