3516485
/m/09hvpk
/m/09hvpk
Amin Maalouf
2000
1666 1
a 3
across 1
ad 1
adventure 1
an 1
and 2
apocalyptic 1
ar 1
are 2
baldassare 2
baldassarenin 1
balthasar 2
balthazar 1
be 1
beast 1
before 2
believes 1
books 1
breadth 1
called 1
civilised 1
constantinople 1
contents 1
copy 1
coveted 1
dawn 1
de 2
down 1
embriaco 1
ensure 1
esel 1
ever 1
fire 1
for 1
from 1
future 1
gla 1
god 1
great 1
him 1
his 1
hundredth 2
importance 1
in 2
is 1
its 1
know 1
koran 1
levantine 1
london 1
mediterranean 1
merchant 1
merely 1
most 2
name 2
names 1
ninetynine 1
of 7
on 1
one 1
out 1
printed 1
quest 1
rarest 1
salvation 1
secret 1
sets 1
shortly 1
take 1
that 1
the 12
there 1
this 1
thought 1
through 1
to 5
track 1
tryznc 1
urgent 1
viaje 1
viaxe 1
vital 1
volume 1
will 2
world 2
year 1
yolculuu 1
