5870181
/m/0f9_l1
/m/0f9_l1
Cornelia Funke
2008
a 16
abandoned 1
able 1
about 1
accept 1
adderhead 9
admirer 1
adult 1
after 3
again 2
agrees 1
all 2
allegiance 2
almost 1
along 1
also 1
an 2
and 34
annoyed 1
another 1
are 4
arrives 1
as 12
asked 1
asking 1
at 5
author 1
awakens 1
awry 1
back 3
bargain 1
be 2
because 1
becomes 2
been 3
beginning 1
believes 1
betrays 2
bids 1
binding 1
black 1
bluejay 7
book 8
born 2
both 3
boy 1
brianna 2
bright 1
bring 2
bringing 1
brotherinlaw 1
but 3
by 10
calling 1
camp 2
can 1
cannot 1
capricorn 1
captured 1
carriages 1
castle 2
changing 2
child 2
children 3
city 1
concludes 1
constant 1
created 1
creating 1
daughter 2
days 1
dead 5
death 5
decaying 1
decides 1
despite 1
die 2
difficulty 1
discovers 1
distanced 1
does 1
doesnt 1
doria 3
drawn 1
drunken 1
during 1
dustfinger 14
each 1
end 1
ending 1
enjoying 1
eventually 1
ever 1
every 1
evil 1
exchange 1
exclusively 1
face 1
farewell 1
farid 5
farm 1
father 1
fearless 1
fenoglio 5
few 1
figure 1
finding 1
finds 2
finishes 1
fire 2
flees 1
folchart 2
folcharts 1
follow 1
follower 1
for 8
forgotten 1
form 1
fortunately 1
frees 1
from 8
furious 1
get 1
gets 1
giant 1
given 1
gives 1
giving 2
go 2
goes 2
going 1
good 1
grandfather 1
grasp 1
graveyard 1
group 1
grows 1
had 1
hand 1
harsher 1
has 7
have 1
he 8
her 9
herself 1
him 6
himself 4
his 9
hopes 1
horseless 1
how 1
human 1
if 2
immensely 1
immortal 2
imprisoned 1
in 21
increasingly 3
inkdeath 2
inkworld 4
insane 2
inseparable 1
inspired 1
intention 1
into 1
involved 1
is 14
itself 1
jacopo 2
join 1
just 1
keeping 1
kept 1
kidnap 1
kidnapped 1
killed 1
killing 1
kindliness 1
king 1
known 3
lake 1
later 1
leaving 1
legion 1
life 2
lights 1
like 1
long 2
longing 2
loot 1
losing 1
love 1
luck 1
makes 2
male 1
man 2
marries 1
matter 1
meantime 1
meanwhile 1
mechanical 1
meeting 1
meets 1
meggie 7
member 1
men 1
milksop 2
mines 2
mo 14
momentarily 1
mortimer 1
mortola 1
mother 1
mountains 1
much 1
named 1
nearly 3
nests 1
never 1
new 2
no 1
north 1
not 1
now 8
of 26
off 1
ombra 5
on 2
only 1
original 1
orpheus 6
other 1
others 1
out 1
over 1
parents 1
part 1
partially 1
peaceful 1
picking 1
picks 2
piper 6
plagued 1
plans 1
plot 1
point 1
power 1
pre 1
prince 1
process 1
promising 1
put 1
questions 1
read 1
regained 1
regularly 1
release 1
resa 5
reside 1
restates 1
return 1
right 1
robber 3
robbers 1
role 1
romanticized 1
ruler 2
ruling 1
safely 1
said 1
sake 1
saves 2
scarless 1
search 1
secret 2
senile 1
sent 1
series 1
service 1
set 1
she 2
side 1
sister 1
slave 1
sleeve 1
slowly 1
small 1
so 1
soldiers 1
son 2
songs 1
southern 1
standing 1
started 1
still 1
story 2
stuck 1
succeed 1
succeeds 1
summons 1
surely 1
swift 1
take 2
taken 1
taxes 1
team 1
tediously 1
that 7
the 78
their 2
them 3
they 5
thief 1
this 3
threat 1
threatened 1
three 4
thus 1
time 1
to 17
travelling 1
treats 1
trees 1
tricks 1
trouble 1
trusty 1
turns 1
ugliness 1
unborn 1
under 1
unsuccessfully 1
up 7
urgings 1
village 1
villages 1
violante 3
visits 1
was 2
way 1
wealthy 1
well 1
were 1
what 3
when 1
where 2
while 3
white 8
who 9
will 4
winning 1
wishes 1
with 8
women 2
words 2
work 1
works 3
world 4
would 1
write 1
writes 1
writing 3
written 1
young 3
