9682847
/m/02pp0mt
/m/02pp0mt
Ken Follett
2007-10-09
1327 1
a 26
able 2
acts 1
afraid 1
after 11
again 1
against 1
age 1
agrees 1
aided 1
alderman 2
all 4
allow 1
allowing 2
along 2
also 1
amabel 1
ambition 1
an 5
anarchy 1
and 42
annet 1
anthony 2
apprentice 1
are 2
armed 1
arranges 1
as 5
at 2
attempt 1
back 1
bailiff 1
battle 2
be 4
bears 1
beautiful 1
because 1
become 2
becomes 4
been 1
begins 2
being 2
believe 1
benedictine 1
bishop 3
black 1
blackmails 1
borough 1
bridge 3
broken 1
brother 3
building 4
bury 1
but 4
buyer 1
by 12
camp 1
cannot 1
career 1
caris 13
carpenter 1
cathedral 3
chance 1
chapel 1
charges 2
charter 1
cheaper 1
child 2
children 4
city 3
claims 1
clash 1
cleanliness 1
collapsed 1
collapses 2
community 1
completes 1
completion 1
conceived 1
conceives 1
conniving 1
conservative 1
continue 1
control 1
court 1
cousin 1
cow 1
crecy 1
daughter 2
davey 1
day 1
de 1
deal 1
death 1
deliver 1
denied 1
departure 2
deposed 1
descends 1
designed 1
desired 1
despite 1
developing 1
die 3
dies 3
dig 1
digs 1
disaster 1
dismantling 1
dissipates 1
does 1
dream 1
drown 1
due 1
during 3
earl 6
edward 2
eight 1
election 1
end 1
england 4
epiphany 1
errand 1
escape 1
escapes 1
even 2
eventually 1
except 1
exception 1
exchange 1
executed 1
execution 1
experiences 1
fabric 1
fabulous 1
facto 1
family 1
father 3
fictional 1
field 1
fight 1
fighting 1
finally 1
finds 1
first 1
flaws 1
fled 2
flee 1
flees 2
florence 2
followed 1
for 8
forever 1
former 1
four 2
france 2
free 1
freeing 1
from 8
fruitless 1
full 1
funding 1
gain 2
genius 1
get 1
go 1
godwyn 5
gone 1
granted 1
growing 1
grudge 1
gwenda 16
had 3
hallows 1
handsome 1
hardship 1
has 5
have 2
having 3
he 7
head 1
heirs 1
help 1
helps 1
her 10
him 6
himself 2
his 25
hopeless 1
hoping 1
hospital 1
however 2
if 1
ii 1
iii 1
immediate 1
impending 1
impossible 1
in 20
including 2
independent 1
industry 1
infatuation 1
inheritance 2
instead 1
institutes 1
instructions 1
into 3
is 15
isolated 1
issues 1
it 1
its 1
join 1
keeps 1
kill 1
killed 2
kills 3
king 3
kingsbridge 15
knighthood 1
knowledge 1
labour 1
lady 1
land 2
lands 1
langley 3
later 2
laura 1
leaves 3
left 1
letter 3
liaison 3
life 3
lifelong 1
local 1
lolla 1
long 2
lordship 2
loses 1
love 2
made 1
make 1
makes 1
making 1
male 1
many 1
marriage 2
marries 2
marry 1
masks 1
master 1
matilda 1
means 1
meanwhile 1
member 1
menatarms 1
merthin 17
midst 1
milder 1
monastery 2
money 1
monk 1
monks 2
more 2
murder 1
murdering 1
named 1
negotiates 1
nephew 1
nerve 1
never 1
new 3
newlywidowed 1
nose 1
not 1
novel 1
now 2
number 1
nunnery 3
nuns 2
nurse 1
of 47
old 1
on 3
one 2
opponents 1
out 2
outbreak 2
outlaws 2
outwits 1
overseas 1
overwhelming 1
own 1
parentage 1
particular 1
peasant 1
people 1
petition 1
philemon 3
philippa 2
phillipa 2
plague 7
poor 1
prince 1
prior 3
prioress 1
priory 2
problem 2
profitable 1
promise 1
prospects 1
prostituted 1
protect 1
proving 1
provokes 1
pursue 1
quickly 2
ralph 15
rape 1
raping 1
ravaged 1
ravages 1
rebuilding 1
recovering 1
redesigns 1
reestablishes 1
reformer 1
refuge 1
regain 1
relationship 1
release 1
renounce 1
renounces 1
repair 1
residents 1
result 1
resulting 1
return 1
returns 1
reveals 2
rewarded 2
roland 3
ruined 1
run 1
sacrist 1
sam 5
same 1
saves 2
saw 1
second 2
secret 1
secretly 1
section 1
seduces 1
seeks 1
sees 1
selfdefence 1
sex 2
she 4
shiring 2
shortages 1
should 1
shows 1
sir 5
sold 1
solves 1
solving 1
some 1
son 4
speak 1
spire 1
sporadic 1
spurns 1
squire 1
steals 1
struggle 1
subdue 1
substantially 1
succeeds 1
survived 1
swear 1
takes 1
tallest 2
ten 2
tenancy 1
than 1
that 3
the 79
their 1
them 1
then 2
there 2
they 1
this 4
thomas 6
thousands 1
through 2
tilly 1
time 1
to 39
together 2
towers 1
townsmen 1
townspeople 2
trades 1
tragedy 1
travels 1
tries 2
troublesome 1
true 1
turns 1
two 3
unwilling 1
up 2
uphold 1
use 1
vault 2
victory 1
village 2
vows 2
wales 1
walks 1
war 1
way 2
well 1
what 1
when 6
where 2
which 5
while 2
who 4
whom 2
why 1
widow 1
wife 1
wifetobe 2
wigleigh 2
william 2
win 1
wins 1
witchcraft 1
with 16
witness 1
witnesses 1
woods 1
wool 1
working 1
worth 1
wounded 1
wrath 1
wulfric 9
year 1
years 4
young 1
