25356957
/m/09gjq2d
/m/09gjq2d
Karen Armstrong
2009
16th 1
17th 1
and 5
arent 1
armstrong 2
atheism 1
atheists 1
book 1
bring 1
but 1
century 1
civilization 1
criticisms 1
disappointingly 1
during 1
enough 1
finds 1
focused 1
forms 1
fresh 1
fundamentalism 2
gave 1
governed 1
have 1
her 2
in 2
introduction 1
knowledge 1
logos 2
made 1
mythos 1
new 1
of 3
on 1
phenomena 1
presents 1
prior 1
radical 1
religion 2
resulting 1
says 3
shallow 1
she 2
since 1
some 1
something 1
study 1
table 1
that 2
the 5
their 1
they 2
this 1
to 2
twenty 1
two 2
valid 1
work 1
years 1
