18097398
/m/09s_br
/m/09s_br
Robin McKinley
1978-10-25
a 23
able 2
about 3
absence 1
accept 1
accepted 1
across 1
actually 1
acute 1
adapt 1
adapted 1
adept 1
afresh 1
after 2
afterwards 1
again 1
agreed 1
alive 2
all 1
allowed 1
allows 2
almost 2
alone 1
along 1
also 2
an 1
and 35
answers 1
any 1
appearance 1
appeared 1
are 3
arms 1
arrangements 1
arriving 1
arrogant 1
as 7
asks 5
assuring 1
astonished 1
at 3
attuned 1
awakens 1
back 2
bad 1
be 7
beast 20
beautiful 2
beauty 25
because 4
become 3
becomes 4
been 1
before 3
begged 1
begin 2
begins 2
begs 1
begun 1
behest 1
being 2
beomes 1
better 1
blacksmith 1
blizzard 1
blossomed 1
bring 2
broken 2
brought 1
but 7
by 2
called 1
came 2
cannot 3
cant 1
captains 1
cargo 1
castle 6
caught 2
changed 1
children 1
citybred 1
close 2
comes 1
comfort 1
completely 1
confesses 1
conscious 1
constantly 1
convinces 1
could 1
crime 1
curse 1
cursed 1
cutting 1
daughters 4
day 2
days 1
dead 1
dearer 1
decided 1
decision 1
delayed 1
descendant 1
despite 3
destitute 1
detailed 1
died 1
discovers 1
disheartened 1
do 1
does 1
dreams 3
during 1
enchantment 1
end 1
ends 1
engaged 2
engagement 1
enjoy 1
even 3
every 2
everyone 3
excited 1
expects 1
expensive 1
explaining 1
faints 1
family 13
father 2
feared 1
feels 3
fell 1
few 2
finding 1
flees 1
for 12
forest 1
forever 1
form 1
found 1
from 3
furious 1
garden 2
gervain 3
gets 1
gifts 2
given 2
go 5
goes 1
grace 6
great 1
grows 1
had 2
handsome 1
happened 1
harmed 1
has 7
hates 1
have 3
he 21
hear 1
hearing 1
her 42
herself 1
him 15
hinting 1
his 13
home 6
honour 1
hope 4
how 4
however 1
human 1
hurting 1
huston 8
if 4
illnamed 1
immediately 1
in 15
increasingly 1
insists 1
instant 1
intil 1
into 3
invisible 1
is 10
jokingly 1
journey 2
kill 1
last 1
later 4
leaves 1
left 1
let 3
life 2
listen 1
live 3
lives 2
living 1
local 2
long 1
longer 1
looking 1
losing 1
lost 3
love 1
lovelier 1
loves 1
magic 2
magician 1
make 2
marriage 2
married 1
marry 5
meet 1
merchant 1
miles 1
minister 1
mirror 4
misses 1
misstepped 1
monster 1
month 1
months 3
more 3
mount 1
much 1
mysterious 1
name 1
named 1
near 1
nearly 2
new 3
news 2
next 1
nickname 1
night 4
no 1
north 1
not 4
novel 1
of 15
older 1
on 3
once 1
one 9
only 6
or 1
other 1
out 1
overjoyed 1
oversealously 1
owner 1
pass 1
piety 1
pious 1
place 1
planned 1
pleading 1
pleas 1
plucked 1
port 1
prepares 1
prince 1
problems 1
proclaiming 1
promising 1
proposal 1
proposes 1
rather 1
ready 1
realizing 1
receive 1
recently 1
recognize 1
reflection 1
refused 1
refusing 2
regains 1
relocates 1
reluctantly 1
request 1
return 7
returned 3
returns 1
reunited 1
revealing 1
reveals 2
revive 1
robert 7
roderick 1
room 1
rose 3
safely 1
said 1
sea 1
see 2
seeds 1
seeing 1
sees 1
self 1
sell 1
sends 1
senses 1
sensitivity 1
servants 1
she 23
shed 1
shelter 1
ship 4
ships 2
shock 1
short 1
shows 3
since 1
sisters 1
so 1
socially 1
soon 1
sooner 1
spell 1
start 1
states 1
stay 2
stays 1
still 1
strength 2
strong 1
stuck 1
stumbling 1
surrounds 1
take 1
takes 1
tell 2
tells 5
terrified 1
than 4
that 23
the 60
theft 1
their 5
them 2
then 2
there 1
they 4
things 1
this 1
though 2
three 1
through 1
time 4
to 54
together 1
too 1
town 3
tries 2
true 1
truly 1
tucker 1
turn 1
two 3
unconsciously 1
until 1
upon 1
vivid 1
waited 1
walking 1
want 1
was 5
way 3
wealthy 1
wear 1
week 1
what 2
when 4
while 1
who 1
will 4
with 8
without 3
woman 1
wonders 1
woodhouse 1
woods 1
world 1
worse 1
would 1
wrecked 1
year 1
youngest 1
