31158318
/m/0gh6pw9
/m/0gh6pw9
Hall Caine
1894
a 9
about 1
absence 1
accepted 1
adult 1
afresh 1
africa 2
after 1
again 2
against 1
alone 1
along 1
an 3
and 21
anything 1
apart 1
appeal 1
arrange 1
arranges 1
as 6
at 3
attempting 1
away 2
baby 1
back 1
be 3
become 1
bedridden 1
been 2
before 3
begin 1
beginning 1
best 1
between 5
birth 1
breaking 1
brought 2
but 2
by 5
castletown 1
causes 1
charge 1
child 3
choose 1
christian 1
class 1
commits 1
concerns 1
confesses 1
confessions 1
confused 1
continues 1
correspondence 1
course 1
cousins 1
cregeen 1
crowd 1
cultured 1
daughter 2
daze 1
deceit 1
deception 1
deemster 3
determines 1
died 1
disappearance 1
displeasure 1
divorcing 1
doting 1
drink 1
driven 1
due 1
earn 1
educated 1
effort 1
end 1
evening 1
everyone 1
everything 1
fact 1
faints 1
fake 1
fall 1
fallen 1
falls 1
father 1
feeling 1
feels 1
feverish 1
fictional 1
final 2
first 1
fit 1
fled 1
for 3
foremost 1
fortune 3
found 1
friends 2
from 4
girl 1
gives 1
go 1
goes 2
gone 1
good 2
goodhearted 1
gossip 1
governor 1
had 1
happy 1
harbour 1
has 4
have 1
having 1
he 8
head 1
hear 1
hears 1
heartbroken 1
her 6
herself 1
hidden 1
him 3
himself 4
his 17
hold 1
honour 1
honouring 1
house 3
however 3
husband 1
i 1
ii 1
iii 1
illegitimate 1
illness 1
immediately 1
in 19
informs 1
installed 1
instead 1
into 2
is 14
island 3
iv 1
kate 19
kates 3
keep 1
kimberly 1
lawyer 1
leave 1
leaves 3
leaving 1
letters 1
lie 1
lies 1
life 3
live 1
liverpool 1
london 1
looking 1
looks 1
love 5
loves 1
low 1
lower 1
made 1
maintain 1
making 1
man 1
marriage 2
marry 1
matures 1
may 1
meanwhile 1
meets 1
memory 1
mistaken 1
multiplies 1
news 1
not 1
novel 1
of 16
off 1
on 4
open 1
openly 1
or 1
order 5
out 2
overcomes 1
parents 1
part 6
paternity 1
pathetic 1
person 1
pete 14
peter 1
petes 4
philip 15
philips 3
poorly 1
position 2
pretence 1
pretending 1
prison 2
promise 1
proposal 1
prospects 1
proves 1
publically 1
pull 1
push 1
quilliam 1
ramsey 1
reaches 1
realises 3
reason 1
recovering 1
rejects 1
relieved 1
remaining 1
remains 1
request 1
retrieving 1
return 1
returns 2
rises 1
rumours 1
saved 1
scene 1
secret 1
secretly 1
see 1
sees 1
sets 1
shameful 1
she 8
sick 1
situation 2
so 4
south 1
spoken 1
start 1
stay 2
still 2
success 1
swoon 1
take 2
taken 1
tearing 1
temptation 1
that 5
the 38
their 1
them 2
then 2
therefore 1
they 3
this 5
thought 1
through 1
throwing 1
to 39
town 1
triangle 1
tried 1
true 1
two 1
unaware 1
unburdes 1
uncle 1
unconscious 1
universally 1
until 1
up 2
used 1
v 1
vengeance 1
vi 1
watches 1
way 1
wedding 1
weight 1
welleducated 1
when 3
where 3
which 4
while 1
whilst 1
who 3
whom 1
wipes 1
wishes 1
with 9
woman 3
worldly 1
wreaking 1
wretched 1
written 1
young 1
