14467706
/m/03d4h97
/m/03d4h97
Philippa Gregory
2004
1558 1
a 3
advisor 2
after 1
ambitions 1
amy 2
and 11
another 1
are 1
as 3
aside 1
at 1
autumn 1
bankrupt 1
become 1
begins 1
bells 1
book 2
brother 2
but 1
calais 1
can 1
cecil 2
childhood 1
closer 1
contemplate 1
coronation 1
country 1
court 1
courtier 1
death 1
desires 1
destiny 1
die 1
died 1
dudley 6
during 1
elizabeth 8
executed 1
fact 1
fall 1
father 1
favourite 1
for 1
four 1
friend 1
from 1
get 1
halfsister 1
has 1
he 1
her 3
heralding 1
him 1
his 4
hopes 2
however 1
i 2
if 1
impossible 1
in 5
inherited 1
intimate 1
into 1
is 5
just 1
kept 1
life 1
london 1
love 1
loving 1
main 2
man 2
married 1
marries 1
marry 1
mary 3
monarch 1
more 1
not 1
now 1
of 4
only 2
opens 1
perspectives 1
previous 1
prince 1
queen 4
quiet 1
rebellious 1
reclaim 1
reign 1
reigns 1
result 1
returns 1
robert 6
robsart 1
setting 1
she 2
side 1
soon 1
strong 1
sure 1
survive 1
that 5
the 13
to 3
told 1
tower 1
trouble 1
turmoil 1
two 1
upon 1
warns 1
was 1
were 1
who 1
wife 2
will 2
william 2
young 1
