1173718
/m/04dflx
/m/04dflx
Lloyd Alexander
1965-06
1 1
15 1
165 1
168 1
22 1
5 1
a 12
able 1
abroad 1
achieved 1
active 1
adaon 4
adult 1
after 2
agrees 1
all 3
allies 1
alone 1
also 1
although 1
an 2
and 35
animals 1
annuvin 2
arawn 2
are 4
army 4
arrives 1
arrogant 1
as 1
at 4
attack 1
attacked 1
autumn 1
band 1
bard 2
barters 1
battle 1
be 1
beaten 1
because 1
been 2
behind 2
beside 1
bestinformed 1
between 1
birth 1
black 3
bleak 1
bonds 1
book 3
borrow 1
both 2
bound 1
brooch 2
burden 1
but 4
by 9
caer 2
called 1
camp 1
can 1
capture 1
caught 1
cauldron 12
cauldronborn 1
chance 1
chief 1
climbs 1
closes 1
coast 1
coll 3
colldecades 1
companions 2
company 3
council 1
counsel 1
credit 1
crow 1
cumbersome 1
cuts 1
dallben 7
dallbenthe 1
death 1
deaths 1
decline 1
defeat 2
depart 1
deployed 1
despite 1
destroy 1
determined 1
determines 1
die 1
disappeared 1
disappearing 1
discovers 1
disdains 1
dismayed 1
doli 4
dreams 1
each 1
earlier 1
early 1
edition 1
eilonwy 3
ellidyr 8
enchanter 1
enter 2
enterprise 1
envies 1
evaline 1
even 1
eventually 1
everyone 1
evidently 1
expanded 1
explain 1
fair 3
far 1
farm 1
farmer 1
feud 1
fflam 1
fflewddur 1
find 1
finds 1
five 2
folk 3
for 6
force 1
ford 1
foundling 3
freed 1
friends 1
fringe 2
from 9
gathers 1
generate 1
generating 1
gift 1
glory 1
goes 1
great 1
guidance 1
gurgi 3
gwydion 7
gwystyl 2
had 1
has 6
haste 1
have 3
he 6
heavy 1
help 1
hen 1
her 1
heroically 1
high 1
him 1
himself 2
his 15
home 1
horned 1
hosted 1
hunstmen 1
huntsmen 2
if 2
illustrates 1
impasse 1
in 8
infancy 2
inherits 1
instead 1
into 2
invisibly 1
is 7
it 7
its 1
kaw 1
king 5
knowingly 1
known 1
largest 1
last 1
later 1
lead 1
leads 4
learn 2
leave 1
led 1
legion 1
little 1
live 1
living 1
lose 1
maintained 1
make 1
manbeast 1
manhood 1
map 2
maps 1
marshes 3
meanwhile 1
meet 1
men 2
minor 1
more 2
morgant 3
mortally 1
morvaaccording 1
mountain 1
name 1
near 1
ness 2
no 1
noble 1
novels 1
now 1
of 25
off 1
offers 1
on 2
once 1
one 1
only 4
opening 1
opens 1
opposite 1
oracular 1
orddu 2
orgoch 1
orphan 1
orwen 1
other 2
others 2
overdue 1
owl 1
own 1
p 1
pack 1
paid 1
parentage 1
parted 1
party 2
pass 1
penllarcau 1
people 1
person 1
personal 1
pet 1
picture 1
pig 2
place 1
point 1
pp 1
prepared 1
price 1
prince 2
princess 1
prophetic 1
proposes 1
prydain 4
published 1
pursuing 1
pursuit 1
quest 1
raised 2
rearguard 1
recover 1
refuge 1
rejoins 1
reluctantly 1
remain 1
reside 1
resolve 1
retrieve 1
retrieved 1
reveal 1
rides 2
river 1
role 1
route 1
rush 1
sacrifice 1
safety 1
scale 1
scattered 2
see 1
service 1
share 1
shatters 1
shows 1
sisters 1
small 2
smoit 1
smoothly 1
son 2
soon 1
south 1
southward 1
southwestern 1
spare 1
stag 1
stolen 1
story 2
strong 1
swordthe 1
take 2
taken 1
tales 2
taliesin 1
taran 10
tells 1
tevyn 1
than 1
thanks 1
that 9
the 59
their 3
them 3
they 10
threadbare 1
three 2
threethe 1
through 1
tip 1
to 21
toward 1
traitor 1
try 1
undead 2
underground 1
unfortunately 1
uninvited 1
unknown 1
until 1
up 1
verge 1
visions 1
waiting 1
wandering 1
warlord 1
way 1
waypost 2
welcome 1
welcomes 1
wen 1
when 4
where 1
white 1
who 5
whole 1
whose 1
will 5
willingly 1
wiry 1
witches 4
with 6
wounded 2
year 1
yet 1
young 1
youngest 1
