28755850
/m/0ddc4d4
/m/0ddc4d4
Emma Donoghue
2010
1 1
a 21
abducted 1
abduction 2
about 1
accept 1
adjust 1
afraid 2
after 3
age 1
ajeet 2
ajeetand 1
alert 1
all 1
an 4
and 33
another 1
are 2
around 1
as 2
at 3
attempt 1
attention 1
attracted 1
authorities 2
away 2
baby 1
badly 1
bathtub 1
because 2
becomes 1
bed 2
been 1
before 1
begins 1
behave 1
being 1
believe 1
believes 1
best 1
birth 1
birthday 2
bites 1
blocks 1
body 2
book 1
both 1
boy 1
breakdown 1
bring 1
broke 1
brother 1
but 2
by 3
call 1
called 1
calls 1
care 1
case 2
catches 1
causing 1
changes 2
charges 1
chases 1
child 1
childendangerment 1
college 1
combination 1
combined 1
comes 1
communication 1
completely 1
conceptually 1
conflicts 1
confused 1
constitutes 1
containing 1
convinces 1
coping 1
cord 1
cut 1
dangerous 1
daughter 1
days 2
death 1
decide 1
decides 1
demands 1
despite 1
died 1
diet 1
dispose 1
divorced 1
dog 1
door 1
drastic 1
drives 1
during 3
electric 1
enclosed 1
ending 1
ends 1
enough 1
entirely 1
escape 3
even 2
eventually 1
ever 1
everything 1
executed 1
exercises 1
extended 1
faces 1
family 2
few 1
fifth 1
finds 1
finger 1
food 1
for 6
found 1
free 1
from 5
get 1
gets 1
girl 1
give 1
go 2
goodbye 1
grabs 1
grandmother 1
had 1
happy 1
hard 2
harder 1
has 5
have 2
he 8
healthy 2
hears 1
her 6
herself 1
him 4
his 12
hospital 2
how 2
however 1
hygiene 1
in 10
incident 1
including 1
independent 1
inform 1
information 1
interview 1
into 1
is 13
it 4
items 1
jack 31
jail 1
jumps 1
keep 1
keeping 1
kitchen 1
known 1
larger 1
last 1
lead 1
leading 1
learns 1
leaves 1
life 4
likely 1
likes 1
limiting 1
lives 2
living 2
locate 1
location 1
lock 1
looked 1
ma 15
maintaining 1
make 1
making 1
man 1
manages 1
many 1
married 1
mass 1
meanwhile 1
media 1
medical 1
mental 3
months 1
more 1
most 1
mother 1
move 1
much 3
named 1
neck 1
new 1
next 1
nick 11
night 3
nights 1
normal 1
not 2
note 1
novel 1
now 1
of 7
off 1
officers 1
okay 1
old 11
older 1
on 9
only 1
oral 1
out 1
outside 1
own 1
painkillers 1
parents 1
part 1
physical 1
plan 2
police 2
possible 1
power 1
pretends 1
problems 2
prompts 1
public 1
quickly 1
quo 1
raja 1
rape 1
real 3
realize 1
really 1
recalls 1
refuses 1
regularly 1
releases 1
remote 1
request 1
residence 1
return 1
reunited 1
revealed 1
room 11
rug 1
runs 2
satanic 1
says 1
secured 1
sees 2
separate 1
separated 1
seriousness 1
set 1
several 2
severe 1
she 7
sick 1
simulate 1
since 2
six 1
sleeps 1
slowly 1
small 2
so 3
some 1
soon 1
space 1
start 1
startles 1
starts 1
status 1
street 1
strict 1
suddenly 1
suffers 2
surroundings 1
take 2
taken 1
television 1
tells 1
that 13
the 36
their 1
them 1
then 2
there 1
they 2
this 2
three 1
time 2
to 30
too 1
toothaches 1
towards 1
traits 1
tries 1
truck 2
tv 4
twentyfive 1
two 1
umbilical 1
unemployed 1
unsuccessful 1
up 3
used 1
via 2
violently 1
visit 1
visits 1
waist 1
wants 1
wardrobe 2
was 2
watching 1
way 1
week 1
were 1
what 1
where 2
which 2
while 2
who 2
will 2
with 8
without 1
workable 1
works 1
world 4
wrapped 2
wraps 1
wrist 1
yearold 1
years 1
young 1
