3369325
/m/0981cz
/m/0981cz
Bernard Cornwell
2000-04-03
{"/m/0hwxm": "Historical novel"}
1805 1
a 4
aboard 1
admiral 1
against 1
also 1
an 1
and 5
arrival 1
at 1
battles 1
board 1
breathtaking 1
british 1
by 1
calliope 2
captured 1
cargo 1
carrying 1
combined 1
could 1
delivered 1
distraction 1
england 1
european 1
ferocious 1
fleet 2
for 1
formidable 1
france 1
french 2
from 1
grace 1
hale 1
headed 1
heading 1
history 1
home 1
horatio 1
if 1
in 3
india 1
indians 1
into 1
intrigue 1
is 6
its 1
lady 1
lovely 1
might 1
most 1
naval 1
nelson 2
new 1
not 1
of 4
on 1
one 1
onesided 1
otherwise 1
own 1
presence 1
promises 1
provide 1
provoke 1
results 1
retelling 1
revenant 1
richard 1
sea 1
sharpe 2
ship 1
spain 1
stolen 1
that 1
the 11
to 4
trafalgar 1
treaty 1
uneventful 2
vanquish 1
voyage 2
war 1
warship 2
wellled 1
which 1
whose 1
year 1
