1044528
/m/041398
/m/041398
Ellis Weiner
1984-11
{"/m/0gf28": "Parody", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 21
about 1
accepted 1
accepts 1
accountant 1
acquiring 2
across 1
act 1
actually 2
addiction 2
additionally 1
adept 1
adult 1
after 4
against 1
agamemnides 4
all 1
allies 1
also 3
an 5
and 25
appear 1
are 3
arriving 1
arruckus 4
as 19
ascend 1
ascends 1
ascension 1
assol 1
assumes 2
assured 1
at 2
audit 1
aware 1
back 3
bakeoff 1
banished 1
banishing 1
baron 5
be 2
becoming 2
been 4
beer 10
before 2
begins 1
being 1
believe 1
big 1
boni 5
books 1
breeding 1
brief 1
bring 1
but 5
butter 1
by 8
byproduct 1
called 1
can 2
carries 1
challenges 1
change 1
charge 1
chefs 1
chronic 1
come 1
comicwhich 1
commerce 2
completely 1
concubine 2
conscious 1
consolidates 1
control 2
controls 2
convenience 1
converting 1
cooking 1
cooperative 1
could 1
covered 1
culinary 1
daughter 3
death 1
debuting 1
decanonization 1
dessert 1
development 1
did 1
discontinued 1
dispatching 1
displaced 1
doon 4
drambrewski 1
drive 1
drunk 1
duke 6
duplicate 1
during 2
easier 1
economist 1
egad 1
else 1
emperor 5
empire 1
ended 1
engine 1
entirely 2
entree 1
entrees 1
environment 1
even 2
event 1
events 1
eventually 1
experiments 1
export 1
eye 1
eyes 2
fall 1
fanatic 1
favor 1
fief 4
fiefholders 1
finally 1
fliprotha 1
foetal 1
followers 1
food 1
for 4
forgotten 1
found 2
franchising 1
freedmenmen 9
from 4
fulfillment 1
galactic 1
galaxy 2
galaxyspanning 1
generationslong 1
getting 1
giant 2
girl 1
give 1
given 2
gone 1
grabr 1
great 2
guild 3
haagendasz 1
had 3
hand 1
hardchargin 5
hardchargins 1
harsh 1
has 4
have 4
he 7
head 3
heir 1
her 4
him 1
himself 1
his 11
history 1
hootch 1
hoped 1
hopedfor 1
house 9
hungered 1
hungry 1
imperial 4
imperium 3
implemented 1
import 1
importance 1
in 9
indeed 1
indicating 1
influenced 1
ingredient 1
insultcombat 1
interstellar 1
into 1
intoxicant 1
intoxication 1
is 10
it 5
its 2
itself 1
iv 1
jazzica 3
jazzicaoftheweirdness 1
kept 1
keynes 1
knowingly 1
knowledge 1
known 7
kumquat 1
lady 3
large 1
led 1
ledger 2
leverage 1
liberal 1
lifecycle 1
liqueur 1
live 1
long 1
loni 2
lotto 5
lounge 1
lover 1
made 3
mahdlt 1
mahn 1
making 1
maroni 3
marriage 1
mauvebib 3
may 1
meanwhile 1
meet 1
messiah 1
missionaria 1
mix 1
monopoly 1
more 1
moroni 2
mother 1
muscle 1
nailyathetrulyweird 1
name 2
napkin 1
native 3
natives 3
natural 1
naturally 1
naturallyoccurring 1
necks 1
new 1
noamchomski 1
not 4
now 1
nowhere 1
occurring 1
of 27
on 7
only 3
opens 1
or 1
originated 1
out 2
over 2
own 2
oyeah 2
padedbrah 1
pall 5
paradise 1
partner 1
peanut 1
peanuts 1
phonibalonica 1
phyllis 2
planet 5
planetologist 1
planners 1
plans 1
plant 1
play 1
point 1
population 1
position 1
positions 1
power 5
premier 1
pretzels 2
previous 1
prison 2
problem 1
problems 1
process 1
processes 1
produce 2
produces 1
program 1
promise 1
prophecies 2
prophecyseeding 1
prophet 1
protein 1
purple 1
puzzled 1
rampaging 1
rankout 1
realizes 2
realizing 1
receptive 1
recipes 1
redonred 2
reign 1
reinstated 1
relative 1
remain 2
rendered 1
rendezvous 1
result 3
resulted 1
return 2
revealed 1
revelation 1
revvedup 1
route 1
ruined 1
run 1
runs 1
salacia 1
scheme 1
schlepping 3
schmaigunug 1
second 1
secret 4
secundus 1
serutan 1
severe 1
shaddap 1
shadvlad 2
shananabaron 1
she 3
silent 1
simplicissima 1
simplicissimus 1
single 1
sisterhood 1
snack 1
so 1
some 1
sometime 1
son 1
soon 1
soy 1
space 1
spouts 1
standup 1
start 1
status 1
structure 1
success 2
sugared 1
sugars 2
supply 1
support 1
taking 2
telltale 1
that 7
the 94
their 1
them 1
thereby 1
thereon 1
they 1
this 3
though 4
thousands 1
time 2
to 16
toddler 1
trap 1
travel 1
tribe 1
true 1
tvani 1
unforgiving 1
upandcoming 1
us 1
use 1
using 1
verbose 1
very 1
via 1
victim 1
vladimir 3
watering 1
weapon 1
wear 1
well 2
were 1
what 1
whatever 1
when 2
where 1
which 1
while 1
who 7
widespectrum 1
wilderness 1
will 3
with 5
within 1
without 2
woman 1
would 1
years 1
