1495019
/m/055tyv
/m/055tyv
Arthur Miller

a 3
able 1
accusedand 1
ambiguous 1
american 2
among 1
an 2
and 1
around 1
arrives 1
as 1
be 3
because 1
broadcast 1
captured 1
cast 1
characters 1
christ 1
citizens 1
close 1
coming 1
country 1
cousin 1
creates 1
crucified 1
crucifixion 1
daughtera 1
deliberately 1
depressed 1
dictator 2
dilemmas 1
divinity 1
for 1
friend 1
guards 1
has 1
he 1
him 1
his 3
impoverished 1
in 1
include 1
is 4
landowner 1
latin 1
leaves 1
major 1
many 1
may 2
military 1
miller 1
miracles 1
moral 1
nation 1
not 1
of 6
or 1
painfully 1
perform 1
play 1
plot 1
popularity 1
prison 1
prisoner 1
problem 1
production 1
protagonist 1
revolves 1
said 1
second 1
sentenced 1
set 1
story 1
such 1
team 1
television 1
that 2
the 13
third 1
this 1
though 1
through 1
to 4
unnamed 1
unseen 1
walk 1
walls 1
wealthy 1
which 1
who 2
with 1
world 1
