13193114
/m/03bydpg
/m/03bydpg
Susan Price
1998-10-16
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/07s2s": "Time travel"}
16th 1
21stcentury 2
a 6
always 1
and 3
andrea 1
anthropologist 1
are 1
as 2
at 1
back 1
because 1
begin 1
border 1
boss 1
british 1
but 1
by 1
century 1
chieftain 1
clan 1
clansmen 1
cooperate 1
corporation 1
create 1
deals 1
divided 1
elves 1
exploit 1
falls 1
fatally 1
finds 1
first 1
fup 2
fups 1
gold 1
handshake 1
have 1
her 1
in 1
increasingly 1
initially 1
is 1
its 1
kidnapping 1
later 1
leads 1
liaison 1
lived 1
lives 1
local 1
love 1
loyalties 1
magical 1
medicine 1
mineral 1
mitchell 1
natives 1
of 3
oil 1
only 1
per 1
plan 1
plunder 1
powerhungry 1
refuse 1
regarding 1
resort 1
resources 1
retaliation 1
robbing 1
savage 1
scottishenglish 1
she 1
son 1
sterkarm 3
sterkarms 3
technology 1
the 13
their 1
then 1
they 2
though 1
time 1
to 4
tourist 1
translator 1
travellers 1
tube 1
underestimate 1
untouched 1
welcoming 1
when 1
which 1
who 3
with 3
young 1
