3402653
/m/099p4w
/m/099p4w
Georgette Heyer
1956
2 1
a 6
about 1
age 1
ago 1
also 1
an 2
and 5
at 1
avoiding 1
bachelor 1
bargained 1
becoming 1
been 1
betrothed 1
both 1
charity 1
confirmed 1
corinthian 1
decides 1
determines 1
died 1
entangled 1
ever 1
experienced 1
extremely 1
feet 1
find 1
for 2
friend 1
gareth 1
gets 1
girl 3
had 1
has 1
he 3
helping 1
her 3
hester 1
his 1
however 1
imagination 1
into 1
is 4
little 1
lively 1
man 1
marry 1
meets 1
mention 1
more 2
not 1
noted 1
of 3
old 1
on 1
particular 1
piece 1
plain 1
possessed 1
practical 1
prematurely 1
problems 1
reasons 1
reminiscent 1
resolve 1
romantically 1
runaway 2
satisfactorily 1
seven 1
shelf 1
since 1
sir 1
soon 1
than 1
the 3
them 1
this 1
to 4
trouble 1
unfashionable 1
unfortunately 1
while 1
who 1
wiser 1
with 1
years 1
young 2
