593924
/m/02tgf6
/m/02tgf6
Stanisław Lem

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
24 1
a 11
able 1
abolition 1
about 3
accomplishment 1
across 1
activities 1
air 1
all 2
also 2
although 2
amount 1
an 3
and 16
animal 2
anthropomorphic 1
anybody 1
apparently 1
are 7
areas 2
argue 1
arrives 1
art 1
artists 1
as 5
associations 1
at 3
atmosphere 1
attackers 1
away 2
be 1
become 1
been 1
being 1
below 1
between 1
border 1
but 3
by 4
call 1
called 1
can 2
capable 1
case 1
character 2
choice 1
civilization 1
clear 1
collective 1
collectivist 1
compare 1
confined 1
constitutes 1
consumerism 1
control 1
converts 1
country 1
create 1
creation 1
criticizing 1
curdle 1
current 1
declensions 1
degree 1
delokaltermin 1
depending 1
derives 1
development 1
discover 1
dislike 1
divided 1
do 1
doing 2
doubt 1
drivers 1
drown 1
dry 1
earlier 1
economic 1
either 1
element 1
end 1
energy 1
enforcement 1
english 2
enjoy 1
entia 3
especially 1
esregreso 1
ethical 1
ethics 1
ethicsphere 3
exceptions 1
exists 1
explanations 1
explore 1
fact 2
faculty 1
feat 1
feel 1
fiction 1
for 5
forms 1
freedom 1
from 3
function 1
generally 2
get 2
going 1
goods 1
government 2
greater 1
ground 1
guided 1
guiding 1
hand 2
happy 1
harm 3
has 1
have 3
help 1
hence 5
high 2
his 2
history 1
holed 1
home 1
hours 1
houses 1
however 1
huge 2
hurt 2
ideal 1
identify 1
ideological 1
ideology 1
if 2
imposition 1
in 19
individual 3
individuals 2
inflict 1
inhabitants 2
inhabiting 1
inside 2
instances 1
intellectual 1
internal 1
into 2
invention 1
involved 1
is 14
it 6
just 1
kurdel 1
kurdl 4
kurdlandia 5
kurdlism 1
kurdls 4
land 1
largely 1
law 1
laws 2
learn 1
least 3
lem 3
libertarian 1
life 1
limitations 1
limits 1
live 4
living 1
lokalna 1
loose 1
luz 1
luzania 8
luzanian 1
luzanians 3
main 2
maintain 1
major 2
majority 1
many 5
marshes 3
material 1
matter 1
may 2
meaning 1
members 1
mentally 1
mobilism 1
molecular 1
more 1
most 3
movement 2
much 2
must 1
name 2
names 1
nanobots 1
national 1
naturally 1
necessary 1
needs 1
neighbor 1
no 4
nonphysical 1
normal 1
not 5
nothing 1
numbers 1
occurring 1
of 44
officials 2
on 9
opposition 1
or 1
order 1
organs 1
other 2
otherwise 1
out 3
outside 1
particularly 1
passages 1
patriotic 1
people 3
periodically 1
pestering 1
physical 2
physically 1
plenty 1
plwizja 1
polish 2
poor 1
population 1
possibility 1
possible 2
potential 1
powie 1
primary 1
probably 1
problem 1
produce 1
produced 1
productive 1
professors 1
prominent 2
protest 2
proud 1
prove 1
purposes 1
pursuits 1
push 1
quality 1
quickies 1
radicalism 1
rations 1
require 1
restrained 1
rollback 1
root 2
ru 1
run 1
satisfying 1
science 1
selfimprovement 1
selfreplication 1
serve 2
shustrated 2
shustrs 8
significant 1
sized 1
slight 1
slighted 1
small 1
so 1
social 1
some 2
speak 1
speaking 1
spend 1
spends 1
spoke 1
standard 1
stands 1
stanisaw 1
state 2
states 1
still 1
stomachs 1
stopped 1
strike 1
students 2
studying 1
succeeded 1
such 3
suddenly 1
system 1
tales 1
technological 1
technology 1
than 2
that 4
the 63
their 7
them 1
there 5
these 1
they 3
thought 1
through 1
tichy 2
time 1
to 21
topic 1
tormenting 1
traveling 1
treatment 1
try 2
trying 1
two 1
under 1
unique 1
university 1
up 1
used 1
vacation 1
various 1
variously 1
vast 1
victim 1
viscosity 1
walk 2
want 1
water 1
we 1
well 1
who 2
whole 1
will 3
with 2
wonderful 1
word 3
words 2
world 1
would 4
year 1
yet 1
you 4
your 2
