6321375
/m/025ttwt
/m/025ttwt
Philip Pullman

{"/m/0dwly": "Children's literature", "/m/02p0szs": "Historical fiction", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
1872 1
a 23
about 3
accomplishments 1
across 1
addictive 1
adelaide 3
affair 1
after 2
again 2
agent 1
along 1
also 1
an 2
and 21
are 1
army 1
around 1
as 3
ask 1
asked 2
asleep 1
at 3
attack 1
aunt 2
aunts 1
away 1
back 2
because 5
before 1
begins 3
behind 1
blessings 1
book 7
bowler 1
boy 1
bread 1
bright 1
bring 1
brown 1
business 1
but 3
by 1
called 3
can 1
card 1
care 1
chatham 1
claims 2
coming 1
company 1
containing 2
died 2
discuss 1
do 2
doesnt 1
drowns 1
drug 1
dutch 1
end 1
enemy 1
ever 1
evil 1
falls 1
father 7
fathers 1
few 1
fighter 1
financial 1
find 1
finds 4
first 1
follows 1
for 2
former 2
found 1
frantically 1
frederick 1
fredrick 1
from 5
garland 1
gave 1
gets 2
give 1
gives 1
go 1
goes 3
gone 2
guests 1
had 2
hand 1
hands 1
happened 1
has 2
hat 1
having 1
he 12
heard 1
heart 1
help 1
hendrik 1
her 18
hers 1
herself 1
hides 1
higgs 2
him 3
his 4
holland 4
hollands 1
house 3
if 3
in 14
indian 1
influence 1
information 2
informs 1
inquest 1
instead 1
into 1
is 13
it 3
jim 4
just 1
keep 1
kent 1
killed 1
knew 1
ladylike 1
large 1
late 1
later 2
lavinia 1
leave 1
leaves 2
left 1
letter 4
lights 1
little 1
lived 1
lives 1
lockhart 5
lockheart 2
loose 1
love 1
made 1
mail 1
major 1
makes 1
man 6
marchbanks 6
matter 1
matthew 3
meant 1
meet 1
meets 2
mentions 1
message 2
mocked 1
moment 1
money 2
morning 1
mother 2
mr 5
mrs 5
must 2
mutiny 1
named 5
need 1
no 1
nonsense 1
north 1
not 1
note 2
now 1
of 10
offender 1
office 1
old 1
on 2
once 1
one 1
only 2
onto 1
opium 2
out 3
owner 1
pages 1
partner 1
pass 1
photographer 1
pin 1
pipe 1
pistol 1
place 1
porter 1
possible 1
prettier 1
princess 1
promise 1
promises 1
quartet 1
rave 2
raves 1
read 1
really 1
received 1
regular 1
remembers 1
romantic 1
ruby 5
said 1
sally 18
sallys 1
same 1
samuel 1
sank 1
saw 1
schooner 1
searches 1
secretary 1
selby 2
selbys 1
seven 1
shadow 1
she 26
ship 1
shipping 2
shoot 1
shows 1
since 1
smoke 1
sold 1
something 1
soon 1
soup 1
starts 1
story 2
suggesting 1
suit 1
sum 1
takes 1
taking 1
talking 1
taylor 1
tell 1
tells 3
tending 1
tent 1
than 1
that 9
the 48
their 1
there 2
they 1
thing 2
things 2
thirteen 1
this 3
throws 1
tiger 1
time 1
tin 1
to 18
town 1
train 1
trouble 1
tweed 1
two 1
under 1
up 2
used 1
useful 1
usual 1
vaneeden 1
visit 1
visits 1
volunteers 1
wakes 1
was 8
water 1
well 1
went 1
what 1
when 5
where 2
which 1
while 1
who 2
whom 2
will 1
with 5
witness 1
woman 4
wore 1
work 2
writes 1
year 1
young 2
