28381337
/m/0crjdnr
/m/0crjdnr
Anthony Blair
2010-09-01
13 1
14 1
17 2
180s 1
2003 2
2005 1
2007 2
2010 1
a 21
abandon 1
abandoned 2
abeyance 1
about 1
adams 1
admire 1
admits 1
affair 1
after 1
aftermath 2
afterwards 1
again 1
agreement 1
also 1
ambiguity 1
amount 1
an 4
and 11
are 3
arguing 1
argument 1
as 10
at 3
attempts 1
balance 1
balmoral 1
banks 1
barbecue 1
be 2
because 1
been 3
before 3
begins 1
believes 4
bereavement 1
blackmail 1
blair 15
book 1
born 1
both 2
breaking 1
british 2
brown 8
bush 2
but 3
by 1
call 1
career 1
cash 1
castle 1
centre 1
certain 1
chancellor 2
change 1
changes 1
chapter 1
claiming 1
claims 1
closes 1
come 2
committed 1
committing 1
contender 1
continue 1
controversy 1
could 1
country 1
couple 1
covers 1
creative 1
crisis 1
critique 1
cut 1
dead 1
deal 2
death 2
decision 4
defeat 1
described 1
describes 1
desperately 1
destruction 1
detriment 1
develops 1
devolved 1
diana 1
died 2
discusses 1
dominates 1
dons 1
during 2
each 1
east 1
economic 1
electable 1
elected 1
election 5
elections 1
elizabeth 1
elizabethnbspii 2
emotional 1
enabled 1
even 1
event 1
executive 1
families 1
feel 1
fester 1
few 1
fin 1
final 1
financial 1
first 3
following 4
for 8
from 4
full 1
funeral 1
future 1
gathering 1
general 3
george 2
gerry 1
gloves 1
goes 1
gone 1
good 1
gordon 2
government 3
ground 1
guy 1
had 6
handled 1
have 5
having 1
he 12
him 3
his 10
honours 1
hopes 1
however 1
hussein 1
i 3
if 3
ii 1
in 9
including 1
inquiry 1
intelligence 1
into 2
introduce 1
invasion 2
iran 1
iraq 2
ireland 2
is 7
it 5
its 1
job 1
john 1
join 1
journey 1
labour 14
lasted 2
later 1
latter 1
leader 5
leads 1
learned 1
left 1
leftwing 1
legislative 1
lessons 1
like 1
likens 1
lives 1
longer 1
longest 1
loss 1
loved 2
made 2
make 1
manning 1
martin 1
mass 1
mcguinness 1
meeting 1
merely 1
middle 1
mind 1
minister 4
month 1
months 1
moves 1
must 2
my 1
necessary 1
never 1
new 4
next 1
nightmare 1
northern 2
not 4
nuclear 1
occasions 2
of 22
offering 1
office 1
on 4
one 1
ones 1
other 1
otherwise 1
outset 1
over 3
pair 1
part 2
party 7
past 1
peace 2
pension 1
philip 1
played 1
plays 1
point 1
policies 3
policy 2
political 1
power 1
powers 1
powersharing 1
praised 1
praises 1
predecessor 1
premonition 1
president 2
prime 4
prince 1
princess 2
problems 1
process 3
promises 1
public 1
put 1
queen 2
rather 1
recalled 1
recalls 1
regard 1
region 1
remain 1
repackaging 1
require 1
resign 1
resolution 1
restructure 1
return 2
right 1
role 1
rubber 1
runup 1
saddam 1
same 1
says 2
second 1
secure 1
selection 1
servant 1
short 1
should 3
significant 1
sinn 1
six 1
smith 3
social 1
some 1
sorry 4
still 1
stimulus 1
strange 1
strategy 1
stretched 1
strong 1
subsequently 1
succeed 1
succeeded 1
succeeds 1
successive 1
successor 1
tactical 1
telling 1
tells 1
tenth 1
tenure 1
term 1
terms 1
than 1
that 10
the 52
their 1
theirs 1
them 2
themes 1
then 2
they 2
things 1
this 1
threatened 1
three 1
time 2
to 25
troops 1
truth 1
two 1
unattended 1
unfair 1
up 2
us 2
using 1
utterly 1
victory 1
w 1
wales 1
war 1
warning 1
warns 1
was 2
wash 1
way 1
weapons 2
were 1
westminster 1
where 1
which 3
while 2
who 2
whose 2
why 1
will 5
win 2
winston 1
with 7
within 1
wmd 1
won 2
worse 1
would 2
writes 1
year 1
years 2
you 2
zero 1
