7130832
/m/0h5slt
/m/0h5slt
Clive Barker
1985
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 6
ability 1
addict 3
after 1
although 1
and 5
another 1
as 3
attempt 1
away 1
bargain 1
be 1
being 1
bodyguard 2
carys 2
caught 1
complete 1
complicated 1
damnation 1
dangerous 1
daughter 2
dead 1
decides 2
deserved 1
devilish 1
during 1
earlier 1
encounters 1
escape 1
events 1
eventually 1
fate 1
faustian 1
few 1
former 1
from 3
gambling 1
game 1
get 2
gets 1
gifted 1
haunts 1
having 1
he 1
heroin 1
him 3
hired 1
his 6
hope 1
however 1
ii 1
in 3
innocent 1
involved 2
involving 1
is 2
job 1
joseph 1
left 1
made 1
mamoulian 3
man 2
many 1
marty 3
men 1
more 1
named 1
now 1
of 3
old 1
one 1
pact 1
passes 1
personal 1
powers 1
prison 1
proves 1
punishment 1
raise 1
recently 1
released 1
reluctant 1
save 2
series 1
soon 1
still 1
strauss 2
such 1
supernatural 2
taken 1
than 1
the 9
thought 1
time 1
to 9
up 1
urging 1
using 1
victim 1
war 1
wealthiest 1
whitehead 5
whiteheads 1
who 1
whom 1
wife 1
with 4
world 2
years 1
