3968975
/m/0b9716
/m/0b9716
Charles Osborne
1998
a 2
amory 2
and 1
are 1
array 1
arrival 1
at 2
been 1
black 1
but 1
by 1
called 1
challenge 1
claud 1
coffee 1
concludes 1
confronted 1
devised 1
every 1
explosive 1
famous 1
figuring 1
for 1
formula 1
friend 2
from 1
gathered 1
has 2
hastings 1
he 3
help 1
hence 1
hercule 1
his 3
home 1
in 1
investigations 1
is 2
learn 1
long 1
murder 1
murderer 1
new 1
night 2
now 1
of 8
other 1
out 1
people 1
person 1
physicist 1
poirot 2
poisoned 1
present 1
questions 1
residence 1
scotland 1
single 1
sir 1
that 2
the 13
their 1
then 1
they 1
title 1
to 1
type 1
upon 1
visit 1
was 1
which 1
who 1
with 1
yard 1
