6171956
/m/0fv2c1
/m/0fv2c1
David Liss
2004
1721 1
a 6
according 1
accused 1
after 1
again 1
against 2
aided 1
and 6
are 1
as 1
backdrop 1
benjamin 1
best 1
by 2
candidate 1
carryovers 1
characters 1
clear 1
clergyman 1
conclusion 1
confined 1
conspiracy 2
cousin 1
david 1
death 1
doesnt 1
election 1
elias 1
escape 1
falsely 1
fate 1
few 1
fictional 1
find 1
finds 1
first 2
for 1
friend 1
from 1
general 1
go 1
gordon 1
hang 1
he 1
heart 1
him 1
himself 1
hired 1
his 6
however 1
in 3
infamous 1
installment 1
investigate 1
is 2
it 1
late 1
liss 1
married 1
memoir 1
miguel 1
miriam 1
months 1
murder 1
must 1
name 1
newgate 1
novel 1
now 1
occupational 1
of 7
on 1
once 1
other 1
out 1
paper 2
parliament 1
personal 1
picks 1
plan 1
play 1
prison 1
quest 1
responsible 1
sentenced 1
several 1
somehow 1
soon 1
strings 1
struggles 1
surgeon 1
tale 1
the 8
this 2
those 1
threat 1
to 4
tory 1
tugs 1
uncle 1
up 1
upcoming 1
weaver 5
widow 1
year 1
