18777587
/m/04gg_bh
/m/04gg_bh
Joey Goebel
2008-07-04
a 6
abandoned 1
absurd 1
after 1
again 1
all 1
allow 1
also 1
america 2
american 1
an 1
and 5
any 2
apocalyptic 1
as 3
ascend 1
at 1
back 1
be 1
becoming 1
besides 2
between 1
big 1
bloodline 1
blue 5
breaks 1
brother 1
buildings 1
business 1
but 2
campaign 1
cast 1
christian 1
cigarette 1
cinematic 1
class 1
clearly 1
common 1
congress 1
constituents 1
corporate 1
country 1
curiously 1
dark 1
deranged 1
desire 1
does 1
dramatizing 1
dream 1
dwells 1
effort 1
elizabeth 1
embarrassing 1
embrace 1
enlivens 1
epic 1
estrangement 1
even 1
executive 1
families 1
family 2
fanatical 1
father 2
favorable 1
finds 1
flea 1
fold 1
for 4
four 1
from 1
fulfill 1
gene 3
genes 2
goes 1
gold 1
handsome 1
has 3
have 1
he 4
henrys 1
high 1
him 5
himself 1
his 9
humor 1
hurstbourne 2
ignored 1
in 7
instance 1
interests 1
into 1
invited 1
is 4
john 3
largely 1
last 1
lifelong 1
light 1
little 1
longer 1
looms 1
low 1
lowclass 1
man 2
mansions 1
many 1
mapother 4
mapothers 2
market 1
marketer 1
masculinity 1
member 1
mention 1
middle 1
more 1
mother 1
mothers 1
mulletheaded 1
name 1
near 1
need 1
nervous 1
no 1
not 1
now 1
of 7
older 1
one 1
only 1
order 2
patriotism 1
political 1
popular 1
pro 1
prophecynot 1
prophetic 1
question 1
relationship 1
represents 1
right 1
running 1
savior 1
sees 1
she 1
shun 1
smalltown 1
socialite 1
somewhere 1
soon 1
stake 1
staunchly 1
stockboyturnedflea 1
storytelling 1
superrich 1
supports 1
sure 1
that 1
the 15
their 1
then 1
they 1
thinks 1
this 1
though 1
through 1
time 1
to 8
touch 1
trashy 1
used 1
values 1
voters 1
walmart 2
war 1
washingtonjohn 1
ways 1
wealthiest 1
which 2
who 1
whom 1
will 1
with 2
without 1
work 1
workingclass 1
world 1
wrestling 1
years 2
