23972063
/m/076zd92
/m/076zd92
Danielle Steel
2004-10
1 1
115 1
2 1
8 1
a 12
after 4
against 1
agent 2
allowing 1
amadea 4
an 1
and 13
antoine 2
are 1
arrested 1
as 6
away 1
back 1
be 1
beata 4
become 2
begin 1
begins 1
british 1
but 3
by 1
camp 2
can 1
care 1
carmelite 1
catholic 1
change 1
concentration 2
convent 1
count 1
country 2
crosses 1
daphne 2
daughter 2
daughters 2
death 2
decides 3
die 1
dies 1
disappear 1
discovered 1
drifts 1
duty 1
echo 1
ends 1
escapes 1
falls 2
family 2
father 1
flees 2
follows 1
for 2
forced 1
fortune 1
french 1
friends 1
from 2
future 1
generations 1
german 1
germany 1
gets 1
goes 1
had 1
has 1
he 1
heart 1
help 2
her 15
hiding 1
him 3
his 2
how 1
however 1
husband 2
in 6
into 1
is 6
it 1
jewish 1
jewishborn 1
kills 1
life 2
live 1
love 3
montgomery 1
not 1
nun 2
of 8
officer 1
old 1
on 1
only 1
orthodox 1
over 1
partisans 1
passed 1
past 1
peaceful 1
rape 1
ravaged 1
realizes 1
recognizes 1
rupert 1
saved 1
second 1
secret 1
sent 1
she 10
soldier 1
soon 1
stayed 1
still 1
summer 1
switzerland 1
take 1
that 1
the 13
they 1
threatens 1
through 1
till 1
to 10
trace 1
tries 1
understand 1
views 1
war 4
ways 1
when 3
wishes 1
with 6
without 1
wittgenstein 1
woman 1
world 1
year 1
years 2
young 1
