24888818
/m/09gm306
/m/09gm306
Malcolm Gladwell
2009-10-20
1 1
a 2
and 7
are 3
articles 1
as 1
at 1
between 1
bloomers 1
but 1
by 1
categorized 1
character 1
compilation 1
covers 1
criminal 1
describes 2
diagnoses 1
difference 1
discusses 1
do 1
dog 1
early 1
enron 1
failure 1
fall 1
first 1
from 1
genius 1
gladwell 1
good 1
in 1
intelligence 2
into 1
is 1
late 1
malcolm 1
minor 1
necessarily 1
new 1
not 1
obsessives 1
of 5
originally 1
other 1
part 2
parts 1
people 1
personality 1
pioneers 1
prediction 1
predictions 1
problems 2
profiling 1
psychological 1
published 1
ranging 1
saw 1
section 2
sociological 1
such 1
that 1
the 7
theories 1
they 1
third 1
this 1
three 1
topics 1
two 1
varieties 1
variety 1
very 1
wellknown 1
were 1
what 2
which 1
who 1
wide 1
yorker 1
