2125816
/m/06nx0q
/m/06nx0q
Alasdair Gray

{"/m/014dfn": "Speculative fiction", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
10 1
a 7
about 1
alasdair 1
all 1
also 1
ambiguity 2
an 1
and 6
archibald 1
are 2
as 2
autobiography 1
baxter 1
be 1
bella 3
body 1
brief 1
by 5
capital 1
centres 1
centuries 1
city 1
complicated 1
concocted 1
council 1
critique 1
culture 2
discovery 1
distorts 1
documents 1
donnelly 1
early 2
echoes 1
editor 1
elspeth 1
episodes 1
european 1
facts 1
fictitious 1
followed 1
following 1
fool 1
for 1
frankenstein 1
friends 1
from 2
glasgow 2
gothic 1
gray 1
has 1
health 1
her 3
heritage 1
himself 1
his 3
historical 1
history 1
hosts 1
husband 2
identity 1
in 4
intricate 1
introduction 2
is 3
it 1
its 2
king 1
leather 1
life 4
local 1
main 1
mary 1
mccandless 1
mention 1
michael 1
morbid 2
more 1
most 1
motifs 1
museum 1
neglect 1
novel 2
of 17
officer 1
on 1
one 1
or 1
papers 1
period 1
poor 1
positively 1
prefaced 1
presents 1
prevailing 1
public 1
reallife 1
refutation 1
reinforced 1
relates 1
romantic 1
satire 1
scottish 1
shelley 1
some 1
something 1
stinks 1
subject 2
suggesting 1
sustained 1
text 1
that 4
the 17
these 1
this 2
time 1
treatment 1
truth 1
victoria 1
was 1
which 2
who 1
whose 1
with 2
woman 1
work 1
would 1
