21082701
/m/05c45x4
/m/05c45x4
Lindsey Davis
2009-02-05
77 1
a 4
ad 1
alexandria 4
and 10
are 2
around 1
at 3
authorities 1
autopsies 1
brother 1
but 1
by 1
cassius 1
catoblepas 1
caught 1
chamber 1
chief 1
chosen 1
circumstances 1
clear 1
corruption 2
crocodile 1
dead 1
death 1
deaths 1
deceit 1
dinner 1
duration 1
egypt 2
empire 1
even 1
eventually 1
everyone 1
falco 5
fall 1
family 3
for 1
found 1
fulvius 2
giza 1
great 1
have 1
his 5
host 1
illegal 1
in 5
into 1
investigation 1
invited 1
is 3
it 1
later 1
legendary 1
librarian 1
library 3
lighthouse 1
livein 1
locked 1
management 1
maneating 1
mother 1
murder 1
mysterious 2
names 1
of 10
others 1
own 1
part 1
partner 1
party 1
plot 1
practice 1
private 1
pyramid 1
reference 1
revolves 1
roman 1
see 1
serapaeion 2
set 1
seven 1
several 1
soon 1
stay 1
story 1
suspicion 1
that 1
the 16
their 1
theon 2
time 1
to 7
travel 1
trip 1
two 1
under 1
unravelling 1
up 2
was 1
web 1
when 1
which 2
who 1
with 2
wonders 1
world 1
