18312637
/m/04cs8_2
/m/04cs8_2
William F. Nolan
1977-12
{"/m/06n90": "Science Fiction"}
a 8
about 1
again 1
along 2
although 1
among 1
an 1
and 11
angeles 1
are 2
argos 2
as 2
at 1
avenge 1
back 2
ballard 3
being 1
below 1
blind 1
borgia 1
bridge 1
buried 1
by 2
c 1
called 1
cape 1
catacombs 1
cease 1
child 1
chosen 1
complex 3
computer 1
crazy 2
cub 1
d 1
death 1
deathly 1
deep 1
defeat 1
destroyed 1
destroying 2
devilstickriding 1
discovered 1
discovers 1
dozen 1
draw 1
ds 1
earlier 1
earth 2
easybut 1
escape 1
escapes 1
explosion 1
fabled 1
falls 1
family 1
farm 1
few 1
finally 1
finds 1
food 1
for 5
former 1
four 1
free 1
from 1
gant 3
gate 1
get 1
golden 1
gone 1
good 1
group 1
gypsies 2
handful 1
hang 1
has 1
hates 1
have 3
he 6
helps 1
himself 1
his 5
horse 2
ill 1
in 6
insane 1
into 2
is 7
jaq 4
jessica 5
kidnaps 1
killed 1
less 1
life 1
line 1
live 1
lived 1
logan 8
lure 1
making 1
man 1
mankind 1
mars 1
mary 2
medicine 1
meets 1
met 1
more 2
mountain 2
murdered 1
murders 1
mystics 1
named 1
network 1
new 1
no 1
not 1
of 3
on 6
one 1
operatives 1
orbit 1
other 1
pack 1
part 1
passionately 1
people 1
plague 1
plan 1
potomac 1
purchased 1
rampant 1
reactivated 1
reenslave 1
return 1
river 1
run 2
runners 3
running 1
rusted 1
sabotages 1
sanctuary 1
save 1
settle 1
shell 1
ships 1
six 1
sleep 1
sneaks 1
son 2
space 1
station 1
statue 1
steinbeck 1
story 1
strawsa 1
succeeds 1
supply 1
than 1
the 18
their 1
them 2
there 2
they 3
thinker 2
this 1
those 1
thousand 1
three 1
time 1
to 11
toughlearning 1
trap 1
travels 1
twoyearold 1
unfolds 1
until 2
washington 1
where 1
while 1
who 3
wife 1
wilderness 1
will 1
with 3
woman 1
world 2
years 2
york 1
young 1
