8929642
/m/027q2_s
/m/027q2_s
Ben Johnson


2nd 1
a 6
actaeon 1
actor 1
all 2
also 1
anaides 1
and 14
appear 1
are 3
arete 1
argue 1
as 6
asotus 1
assembled 2
at 2
audience 1
author 1
awakened 1
bathing 1
be 1
beaten 1
become 1
bedford 1
begins 1
black 1
boys 1
by 3
causes 1
challenges 1
choirs 1
church 1
cloak 3
come 1
comers 1
companies 1
competition 2
compliment 1
conclusion 1
countess 1
court 1
courtier 1
courtiers 2
criticizing 1
cupid 1
cynthia 4
dancers 1
delivers 1
devereux 1
diana 1
disputing 1
dotingly 1
draw 1
drink 2
drinkers 1
drinks 1
earl 1
echo 1
elizabeth 2
emboldened 1
enamored 1
essex 1
fashion 1
fighting 1
figure 1
foolish 1
for 5
four 1
from 3
gargaphie 1
goddess 1
gods 1
greece 1
grow 1
hands 1
happens 1
has 3
have 1
he 1
held 1
helicon 1
him 2
his 1
in 10
interrupting 1
is 3
jonson 1
ladies 2
lady 1
longs 1
losers 1
lots 1
lucy 1
make 1
manners 1
masqueraded 1
masques 1
master 1
may 2
mercury 2
mount 1
mouth 1
music 1
narcissus 2
notably 1
of 10
one 2
or 1
ordained 1
originated 1
others 1
over 3
pages 1
patroness 1
performed 1
phases 1
play 6
prologue 1
proper 1
purify 1
putting 1
queen 1
reparation 1
represent 1
representing 1
revelers 1
revels 2
rich 1
robert 1
selflove 1
sentences 1
she 1
shows 1
solemn 1
soon 1
spectators 1
spendthrift 1
spring 4
start 1
starts 1
states 1
suppress 1
symbolic 1
telling 1
that 2
the 32
theatre 1
their 2
them 1
themselves 2
they 3
three 1
to 8
too 1
try 1
two 1
typical 1
unmask 1
usually 1
valley 1
vanity 1
vices 1
virtues 1
waiting 2
weeps 1
well 2
what 1
which 1
while 1
who 3
with 1
within 1
worn 1
