2447322
/m/07dr23
/m/07dr23
Daniel Pinkwater
1998
{"/m/03mfnf": "Young adult literature"}
a 7
actually 1
admitted 1
allows 1
and 6
anticommunist 1
antisemitic 1
any 1
appreciate 1
architecture 1
art 1
at 1
attend 1
attending 2
attends 2
attitudes 1
be 2
beatnik 1
been 2
being 1
boredom 2
but 1
chess 1
chicago 1
city 1
class 1
classes 1
college 1
communist 1
concludes 1
convinces 1
correctional 1
courses 1
day 1
didnt 1
ends 1
enrolled 1
even 2
eventually 1
except 2
explore 1
finally 1
finds 1
fired 1
for 4
freedom 1
from 2
getting 1
girlfriend 1
goes 1
greatly 1
grounds 1
grows 1
guidance 1
hang 1
has 3
hatred 1
he 8
high 2
him 3
his 7
homophobia 1
hope 1
how 1
in 6
increases 1
instead 1
interest 1
interests 1
is 4
it 2
its 1
kenny 3
know 1
large 1
learns 2
let 1
linda 1
matures 1
more 1
never 1
no 1
notable 1
noticed 1
occasions 1
of 7
on 3
only 1
orders 1
out 1
over 1
papescu 3
paranoia 1
parents 1
part 1
pe 1
periods 1
preferring 1
private 1
provides 1
recommendation 1
reflection 1
riverview 2
robert 8
rotc 2
school 8
seeks 1
sergeant 1
shelter 1
some 1
stops 1
straight 1
taking 1
teachers 1
that 5
the 12
this 1
time 1
to 8
town 1
transferred 1
truancy 2
two 1
unpunished 1
up 1
very 1
was 1
wheaton 3
when 1
which 1
while 1
winter 1
with 3
years 1
