1372675
/m/04xlck
/m/04xlck
David Weber
1993
a 19
academy 1
acquired 1
across 1
act 1
additional 1
address 2
admiral 2
advanced 1
after 6
against 2
aging 1
aliens 1
all 1
amazed 1
among 1
an 3
and 23
are 3
as 11
aside 1
assembling 1
assigned 2
assignment 1
assumes 1
at 1
attention 1
backwater 1
bad 1
banished 1
basic 1
basilisk 11
be 3
been 2
before 1
begins 1
better 1
blames 2
bleak 1
bloated 1
blood 1
bls 2
buckling 1
budget 1
bullet 1
but 4
by 1
cabinet 1
can 2
captain 2
career 1
carpet 1
casualties 1
cause 1
century 1
chance 1
chase 1
check 1
choice 1
circumstances 2
cl56 2
clever 1
coherent 1
command 3
commander 1
commanding 1
competent 1
completing 1
conqueror 1
conquests 1
constructed 1
contains 1
contradictory 1
control 1
correctly 1
could 1
coup 1
courage 1
course 1
crew 4
cruiser 3
cruisers 1
current 1
dangerous 1
de 1
deal 1
decision 1
dedicated 1
deduces 1
defeat 2
delight 1
delighted 1
deny 1
desires 1
desperate 2
desperately 1
despite 1
destroy 1
determine 1
discharge 1
discusses 1
discussion 1
dismay 1
dismayed 1
down 1
drags 1
drawing 1
dumping 1
duquesne 1
during 1
duty 4
eager 1
economic 4
economy 1
effect 1
engagement 1
erewhon 1
even 2
everything 1
evolved 1
expected 1
extensive 2
eyes 1
failure 3
fearless 10
finance 1
firmly 1
fleeing 1
fleet 2
following 1
for 9
force 1
fragments 1
frankel 2
frenzy 1
freshly 1
from 1
full 1
games 1
get 1
given 2
graduated 1
greet 1
grimly 1
ground 1
grown 1
gutted 1
had 1
half 1
handed 1
hard 1
harrington 1
harris 1
has 7
hastily 1
have 1
haven 9
havens 1
having 1
haze 1
he 2
heavy 2
her 11
hereditary 1
heros 1
his 2
hold 2
honor 12
honors 2
in 13
income 2
increases 2
inform 1
information 1
initial 1
intentions 1
interstellar 1
interval 1
into 7
invade 1
invasion 1
is 14
it 4
its 4
junction 3
just 1
keeping 1
kicks 1
killing 1
kingdom 2
knightclass 1
lacking 1
latest 1
launch 1
leads 2
league 1
learn 1
learned 1
leave 1
leaves 1
left 1
light 2
living 1
look 1
lord 1
lowtech 1
lure 1
made 1
main 1
manages 1
manticoran 1
manticore 5
manticorian 2
mauled 1
means 1
military 2
mission 2
mob 1
more 1
moves 1
moving 2
much 1
nation 1
native 1
naval 1
navys 1
nearly 1
needed 1
nemesis 1
new 3
newly 1
no 1
none 1
normal 1
not 1
now 1
of 24
off 1
officer 3
officers 4
old 1
on 4
only 1
opening 1
opposing 1
option 1
or 1
other 2
out 1
over 2
overmatched 1
own 1
parnell 2
partner 1
pavel 1
people 1
personnel 2
picket 2
pieces 1
plan 3
planet 1
planetary 2
plans 1
points 1
policies 1
position 1
possess 1
pounded 1
presence 1
presents 1
president 1
pretext 1
projections 1
promising 1
promoted 1
proper 1
properly 1
provide 2
qship 2
queen 1
queens 2
range 1
realization 1
realize 1
realizes 1
recently 1
redesignated 1
refit 2
refitted 1
reinforces 1
rejected 1
repairs 1
replace 1
republic 1
required 2
requirements 2
resources 2
respond 1
responds 1
responsible 1
resulting 1
returns 1
revitalized 1
rise 1
rival 1
rmn 1
rmns 1
rounds 1
royal 1
safest 1
scheduled 1
scrap 1
scrapped 1
secret 2
secretary 1
security 1
see 1
seen 1
service 1
set 3
she 1
ship 1
short 1
should 1
sidney 1
silesia 1
situation 2
slowly 1
so 1
socalled 1
solarian 1
sole 1
soon 3
source 1
southwards 1
staff 1
stand 1
star 7
station 1
stipend 1
strangling 1
stripped 1
stumble 2
succeeds 1
success 1
successful 1
suffers 2
suitable 1
sweep 2
swoop 1
system 7
systems 3
tactical 2
take 2
takes 1
taking 1
task 1
tasked 1
tasks 1
technology 1
termini 1
terminus 1
terrible 1
testbed 1
that 6
the 71
their 3
them 2
themselves 1
then 1
these 1
they 2
thing 1
this 2
though 1
threat 1
through 2
time 1
to 41
too 2
towards 2
trevors 1
turned 1
turns 1
two 1
under 1
underway 1
unit 1
up 2
use 2
used 1
very 1
vessel 1
visiting 1
walter 1
war 1
warlock 1
was 1
way 2
weapon 2
weapons 3
welcome 1
westwards 1
when 1
which 3
while 1
whipping 1
who 2
whole 1
widely 1
will 1
with 8
within 1
work 1
wormhole 1
would 3
young 4
