4558107
/m/0c8t5d
/m/0c8t5d
Mercedes Lackey
1993
a 13
abducted 1
able 2
about 1
accidentally 1
adept 2
advantage 1
agent 1
all 1
allow 1
along 1
also 2
ambassadors 1
among 1
an 4
ancar 6
ancestral 1
and 17
andesha 3
any 1
are 2
army 1
around 1
arranging 1
arrival 1
as 4
assassination 3
at 1
attack 3
avatars 2
aware 1
back 1
be 2
because 3
becomes 1
been 2
begin 1
bloodline 1
bodies 2
body 2
book 1
border 2
both 1
boy 1
but 1
by 5
can 1
capital 1
caused 1
causing 2
cheat 1
circulating 1
claim 1
clan 1
clans 1
close 1
come 1
companion 1
complicated 1
composed 1
coopted 1
corner 1
corrupt 1
create 1
cross 1
damage 2
darkwind 4
daughter 1
deals 1
death 2
defenses 1
destroys 1
died 1
difficulty 1
discovers 1
disguised 1
distances 1
divided 1
done 1
draws 1
eastern 1
eliminate 1
elspeth 7
empire 1
enabling 1
envoy 1
equally 1
estranged 1
evil 4
experimenting 1
explains 1
eye 1
falconsbane 10
feels 1
find 1
finding 1
firesong 5
first 1
flee 1
for 3
force 1
forest 1
found 1
from 4
gate 2
ghost 1
goddess 1
good 1
group 1
gryphons 2
had 2
hardorn 2
hardornen 1
has 4
have 2
haven 3
hawkbrothers 1
he 6
head 2
heal 1
healed 1
help 1
her 6
herald 1
heraldmage 2
heralds 3
hidden 1
him 5
his 6
hulda 2
hydona 1
immediately 1
in 10
information 1
injured 1
intending 1
intends 1
into 1
is 6
it 2
its 1
job 1
kheyna 1
kill 1
killing 1
kills 1
kingdom 1
kleysha 1
ktreva 1
kyree 1
large 1
launches 1
learns 1
leaving 1
little 1
live 1
lover 2
lowered 1
lure 1
mage 1
mages 2
magic 1
magical 4
magically 1
magiccontrolled 1
makes 1
mancat 1
manor 1
may 1
meanwhile 1
member 1
might 1
mind 1
minor 1
mishap 1
monarchy 1
mornelithe 1
mortal 1
most 1
mother 1
move 1
murdered 1
must 1
near 2
need 6
new 1
nonheralds 1
northern 1
not 1
nyara 4
of 18
on 1
or 1
out 1
over 1
palace 1
party 4
pass 1
perish 1
person 1
personality 1
portal 1
possible 2
potential 2
powerful 1
prince 1
prison 1
prompted 1
protections 1
pursue 1
pursues 1
quickly 1
recent 1
refuge 1
remove 1
renounces 1
repelling 1
responds 1
reunion 1
rris 1
rumors 1
saving 1
secret 1
send 1
sensation 1
settles 1
she 5
shinain 2
show 1
since 1
single 1
situation 1
skif 4
slowly 1
so 1
somewhat 1
sorrows 1
speed 1
spirit 1
step 1
stepfather 1
survived 1
sword 1
take 3
takeover 1
team 2
that 7
the 49
their 2
them 2
themselves 1
then 1
there 1
they 2
though 1
throne 1
through 1
to 22
together 1
took 1
towards 1
training 1
traveling 1
treyvan 1
tribe 1
tried 1
troops 1
turn 1
two 2
upon 1
using 1
valdemar 6
vanyel 4
various 1
victim 1
void 2
warn 1
was 1
way 2
western 1
when 1
where 1
which 1
while 1
who 3
will 1
witch 1
with 6
without 1
witness 1
wound 1
youth 1
