3756259
/m/09z9qc
/m/09z9qc
John Maxwell Coetzee
1983
{"/m/05hgj": "Novel"}
a 20
abandoned 1
able 1
accused 1
africa 1
after 2
again 1
ago 1
aiding 1
albert 5
along 1
also 1
although 1
an 2
and 17
angered 1
apartment 2
are 2
around 1
arrives 1
as 2
ashes 2
assigned 1
at 1
attack 1
attempting 1
attracted 1
aware 1
back 1
be 1
bears 1
because 2
becomes 5
begins 1
being 1
believed 1
between 1
birthplace 1
blamed 1
book 1
box 1
breaks 1
builds 2
but 1
by 5
camp 5
cape 3
captain 1
carry 1
carrying 1
character 1
cheap 1
city 4
claustrophobic 1
come 2
commentators 1
connection 1
continue 1
decides 2
delirious 2
deliver 1
desolate 1
detail 1
detained 1
dies 1
discovers 1
dislikes 1
doctor 2
down 1
eat 1
escape 3
escapes 3
escaping 1
eventually 2
explains 1
exploited 1
extremely 1
family 1
farm 4
fascinating 1
feed 1
feels 1
finally 1
finds 5
finished 1
first 1
for 5
found 1
franz 1
garden 3
gardener 1
get 1
go 1
goes 1
group 1
had 1
has 2
having 1
he 19
her 1
here 1
hiding 2
him 6
himself 1
his 19
hospital 1
house 1
how 1
however 2
in 14
institutionalized 1
interested 1
into 2
introduce 1
is 13
it 1
job 2
josef 1
journey 1
k 4
kafka 3
labor 1
land 1
later 1
like 1
lingers 1
live 1
lived 1
local 1
made 1
maid 1
makes 1
malnourished 2
man 1
many 1
massive 1
meets 2
michael 23
michaels 3
mother 7
mothers 2
mountains 3
named 1
nature 1
nomadic 1
not 2
notice 1
novel 2
obtain 1
of 13
off 1
on 9
one 1
open 1
out 4
over 1
own 1
owners 1
papers 1
parts 1
people 1
period 1
permits 1
picked 1
police 2
prince 5
proper 1
protagonist 1
quit 1
railway 2
real 1
rebels 2
references 1
reflects 1
refuses 1
rehabilitation 2
relatives 1
released 1
required 1
return 1
returns 1
rickshaw 1
riot 1
robert 2
same 1
see 1
sent 1
servant 1
sex 1
shelter 1
shoddy 1
sick 2
simple 1
simpleton 1
so 2
soldiers 1
some 4
soon 3
south 1
split 1
spoke 1
starvation 1
state 1
stays 1
stubborn 1
surroundings 1
taken 1
takes 1
tends 1
that 1
the 38
their 1
there 1
therefore 1
they 1
this 2
though 1
three 1
through 1
thus 1
time 3
to 28
town 4
townspeople 1
track 2
travel 2
treatment 1
treats 1
trial 1
tribute 1
tried 1
tries 1
unable 1
understand 1
unfairly 1
up 2
upon 1
use 1
very 2
warlike 1
watch 1
way 5
ways 1
we 1
wealthy 1
when 1
where 3
while 2
who 4
with 4
within 1
woman 1
women 1
work 3
workers 2
works 2
