30049306
/m/0g54v9n
/m/0g54v9n
Maurice Leblanc
1909
124 1
a 5
alessandro 1
also 2
amateur 1
and 4
antoinette 1
arsne 6
as 1
balsamo 1
beautrelet 2
been 1
being 1
big 1
built 1
but 2
by 3
caesar 1
cagliostro 2
chteau 2
collection 1
contains 1
countess 1
creuse 2
de 1
department 1
detective 1
diamonds 1
did 1
discovers 1
down 1
dowries 1
ever 1
fabulous 1
for 1
fortune 2
found 1
france 4
french 2
gifted 1
give 1
handing 1
has 3
have 1
havre 1
he 3
headache 1
hidden 2
hides 1
high 1
himself 1
hollow 3
however 1
imagined 1
in 5
is 4
isidore 2
it 1
josephine 1
julius 1
king 1
kings 3
known 1
laiguille 2
le 1
legendary 1
louis 2
lupin 6
marie 1
mastered 1
most 1
mystery 1
name 1
near 1
needle 5
normandy 1
not 1
novel 2
now 1
of 16
off 1
opposed 1
pearls 1
people 1
poised 1
put 1
queens 1
realize 1
revealed 1
riddle 1
rubies 1
sapphires 1
school 1
second 1
secret 2
since 1
solution 1
still 1
that 3
the 27
thinks 1
this 1
time 2
title 1
to 4
town 1
track 1
treasure 1
under 1
universe 1
valmras 1
was 1
when 1
where 1
who 2
xiv 1
young 1
