1237092
/m/04l107
/m/04l107
Patrick Marber

a 33
about 1
accepts 1
acts 1
actually 2
adult 1
affair 1
after 3
again 3
alice 25
alicejane 1
all 1
alone 1
along 1
america 2
an 4
and 47
animosity 1
anna 31
anymore 2
aquarium 1
are 3
argument 1
arranging 1
arrives 2
as 5
asking 2
asks 4
at 6
attend 1
ayres 1
back 5
based 2
be 4
because 2
become 2
becomes 2
bed 1
been 4
before 3
beginning 1
begs 1
being 1
betrayal 1
better 1
between 1
birthday 2
bloodied 1
body 1
book 2
boss 1
briefly 1
broken 1
brutally 1
buster 1
but 3
by 6
called 1
calls 3
can 1
candid 1
cant 1
car 1
carry 1
casual 1
catch 1
catches 1
caught 1
chat 2
cheat 1
child 1
clothes 1
club 1
clubs 1
coldly 1
colleagues 1
come 3
confronts 2
connection 1
conversation 2
convinces 1
could 1
couple 1
crossing 1
dan 35
daniel 1
dares 1
dating 1
day 2
decides 1
declines 1
demanded 1
dermatology 1
description 1
devastated 1
did 3
didnt 2
died 1
dinner 1
disappears 1
disarming 1
discovers 1
distraught 1
divorce 2
do 3
doctor 2
does 1
dont 1
each 3
editor 1
emerges 1
emotional 1
encounters 1
end 1
euphemism 1
euphemisms 1
even 1
ever 2
exchange 2
exgirlfriend 1
explains 1
face 1
fact 2
failed 1
fallen 1
falls 2
feared 1
finalized 1
finally 1
finds 2
first 2
flight 1
flirt 1
flying 1
fool 1
for 10
former 1
found 1
from 4
front 1
fun 1
girl 2
girlfriend 2
gleans 1
go 3
goes 2
going 2
goodbye 2
grabbing 1
had 4
has 9
haunted 1
have 7
having 5
he 23
heartbreak 1
heated 1
her 25
hers 1
him 19
himself 1
his 14
hit 3
hits 1
home 1
hospital 1
how 1
humorously 1
hurt 1
i 1
identify 1
if 3
impersonates 1
impression 1
in 22
insists 1
inspects 1
internet 1
introduce 1
is 21
it 5
jane 1
jealous 1
joke 2
knee 1
know 1
knows 1
larry 26
last 1
late 1
later 6
learn 1
leave 4
leaves 6
leaving 1
left 3
leg 2
lie 2
lies 1
life 1
like 1
london 2
longer 1
looking 1
love 4
lying 1
makes 1
man 1
mark 1
marriage 1
married 2
me 1
meanwhile 2
meet 5
meeting 3
meets 1
memories 1
met 1
moment 2
month 1
months 1
more 1
most 1
museum 1
mutual 2
name 2
named 1
neck 1
new 1
next 1
nickname 1
night 2
no 2
not 3
now 1
nurse 1
obituaries 1
obituary 1
of 11
off 1
office 1
on 10
once 1
one 3
only 1
other 3
others 1
out 4
over 3
overhears 1
paints 1
papers 3
partners 3
past 1
pathetic 1
patients 1
person 1
photo 5
photograph 1
picture 1
play 1
playing 1
poems 1
poet 1
poignant 1
polly 1
practical 2
pregnant 1
preparing 1
presentiment 1
pretending 1
primitive 1
probably 1
prompting 1
publicity 1
publishing 1
pushes 2
question 1
reading 1
recognizes 1
recommends 1
refuses 1
rejects 1
relationship 3
relive 1
reserved 1
respective 1
rest 1
reveal 1
revealed 2
reveals 3
room 2
ruth 1
same 1
says 3
scar 1
second 1
see 3
seedy 1
seen 1
selfdescribed 1
sets 1
sex 4
shaped 1
share 2
she 25
showing 1
sick 1
sign 3
significant 1
since 1
six 1
sleep 2
sleeping 1
slept 1
snaps 2
so 1
solitude 1
something 1
somewhat 1
spend 1
spits 1
stands 1
state 1
still 1
street 1
strip 2
stripper 1
stripping 1
struggles 1
stunned 1
summons 1
take 1
takes 1
taking 2
talks 1
taxi 1
tearstricken 1
tell 5
telling 1
tells 7
terms 1
than 1
that 18
the 38
their 9
themselveshe 1
there 2
these 1
they 13
thief 1
this 1
though 1
through 1
throws 1
to 38
together 3
told 1
tries 1
true 1
truth 5
truthful 1
two 1
unable 1
under 1
up 2
upon 1
upset 1
use 1
verge 1
waif 1
wait 1
want 1
wanting 1
wants 1
was 1
watching 1
we 1
when 5
where 1
which 3
while 1
who 3
whom 2
why 1
will 2
with 18
without 2
woman 3
women 1
woolf 1
words 2
work 2
would 5
writer 2
year 2
york 1
you 2
young 4
younger 1
