4806331
/m/0cp25_
/m/0cp25_
Christoph Luxenberg
2007-05-01
a 3
according 1
and 5
any 1
arabic 2
arabicsyriac 1
argument 1
as 1
based 1
book 1
both 1
but 1
can 1
christian 1
classical 2
codified 1
did 1
disagreement 1
final 1
follows 1
forcefully 1
gap 1
gave 1
happened 1
have 1
hybrid 1
idea 1
if 1
in 4
into 1
is 1
islam 1
it 3
kroes 1
language 3
like 1
liturgical 1
lot 1
luxenberg 1
meaning 1
mecca 1
misinterpretations 1
mixed 1
more 1
muslims 1
not 2
of 8
on 2
only 1
oral 1
original 1
quran 2
quranic 1
randomly 1
richard 1
rise 1
scholars 1
sense 1
serious 1
something 1
summarises 1
text 2
texts 1
that 1
the 10
there 1
they 1
this 3
those 1
to 2
traders 1
trading 1
traditional 1
transmission 1
turned 1
understand 1
views 1
was 4
western 1
when 1
with 1
working 1
written 1
