22805766
/m/063z35d
/m/063z35d
Colin Dann
1983
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 36
abandoned 2
able 1
about 3
across 4
act 1
after 4
again 3
agree 1
agreement 1
agrees 3
all 2
allowed 1
alone 2
along 2
an 2
and 56
animals 2
another 1
approach 1
are 3
area 1
arrive 2
arrives 5
as 11
asks 2
assume 1
assuming 1
at 2
away 4
back 8
bad 1
badger 7
bantam 4
bantams 2
barks 1
be 6
because 6
becomes 1
been 5
before 2
being 2
big 1
bird 2
birds 1
biting 1
bold 65
bone 2
born 3
bring 2
brings 1
buried 1
but 20
by 8
call 2
calls 1
can 2
cannot 4
carrion 1
carrying 1
casts 1
cat 1
catch 3
catches 2
caught 1
causes 1
charmer 2
chases 1
chasing 1
choose 1
collapses 1
collect 1
collection 1
come 1
comes 4
coming 1
completely 1
confidence 1
consists 1
constantly 1
containing 1
could 1
country 1
cover 1
criticises 1
crow 7
crushed 1
cub 1
cubs 2
culprit 1
day 7
days 8
daytime 1
dead 1
death 1
decided 1
decides 2
deer 4
defeat 1
defiance 1
departs 1
dependent 1
despite 1
develops 1
devours 1
diet 1
difficult 1
dig 2
digs 1
discovers 4
distracts 1
ditch 2
do 1
does 3
doesnt 3
dog 7
dont 1
dormouse 1
down 1
dragging 1
due 1
during 5
each 1
earth 8
eat 1
eaten 1
eats 1
eggs 1
encounters 2
enough 3
ensuing 1
enter 1
escape 2
even 1
evening 2
eventually 2
exhausts 1
exploring 1
eye 2
family 1
famous 2
far 1
farm 4
farmland 1
farthing 3
father 2
fear 1
fed 1
feed 2
feeding 1
feels 1
female 3
fences 1
few 6
field 2
find 4
finds 1
finish 1
first 1
following 2
food 8
for 16
forcing 2
forget 1
fortunately 1
found 1
fox 10
foxes 7
frequently 1
friend 1
friendly 3
friends 1
from 2
front 1
game 3
gamekeeper 1
garden 1
gardens 2
get 5
gets 2
give 1
go 3
goes 2
good 1
grabs 1
grateful 2
gratefully 1
greet 1
greyhound 4
greyhounds 1
ground 2
gunfire 1
hare 3
harm 1
has 11
hastily 1
have 3
having 1
he 45
head 1
heading 1
heads 2
hears 1
heavy 1
help 4
helped 1
helps 1
her 13
hide 1
hides 1
hiding 1
him 26
hime 1
himself 3
his 24
hole 3
home 2
how 1
however 2
humans 6
humiliated 1
hunt 2
hunters 2
hunting 2
ignores 3
immediately 1
in 23
incists 1
increases 1
injured 3
injures 1
injuries 1
injury 1
insects 1
insists 2
instead 1
into 5
is 22
it 8
its 1
joining 1
journey 2
jump 2
killed 3
kills 2
kin 1
knows 1
land 1
large 1
last 1
later 7
lead 1
leads 1
leave 2
leaves 1
left 3
leg 2
let 1
limited 1
limps 1
live 2
locked 1
lonely 1
longer 1
look 1
loudly 1
magpie 1
mainly 2
make 3
makes 2
manages 1
many 1
master 2
mastiff 1
mate 3
mating 1
may 1
meaning 1
meanwhile 1
meets 3
men 1
mended 1
met 1
mistakes 1
month 1
more 2
most 1
move 1
moved 1
much 1
must 1
name 1
nearby 4
neck 1
need 1
nest 2
new 2
next 4
night 1
nimble 1
no 3
not 2
nothing 3
notice 1
noticed 1
notices 1
of 23
off 3
offer 1
offering 1
offers 4
offspring 1
older 1
on 4
once 1
one 9
open 2
or 1
other 3
others 1
out 5
outside 2
over 2
own 1
owner 1
pace 1
pair 1
park 5
part 1
partridges 1
pheasant 2
pheasants 1
plan 1
play 1
plentiful 1
prepares 1
prevents 1
previously 1
pride 1
promises 1
proud 1
provide 1
pursues 1
raiding 1
rans 1
rats 2
reaches 1
real 2
recovers 1
refers 1
refuse 1
refuses 1
reject 1
reluctantly 1
remaining 1
remains 1
rescue 1
reserve 1
resolves 1
rests 1
return 2
returns 2
revenge 1
robber 9
rollo 6
run 1
runs 1
save 1
scarface 1
scavenge 1
scavenging 3
scraps 1
searching 1
season 1
see 2
seeing 1
sees 7
set 2
several 3
shadow 4
shadows 1
shakes 1
share 1
she 12
shoot 1
shoots 1
should 1
sight 1
sleep 1
sleeping 1
sleeps 1
slow 1
slowly 1
slugs 1
slush 1
smaller 1
snaps 1
snare 1
snow 2
so 3
some 4
soon 2
sound 1
speed 1
startled 1
state 1
stay 1
stealth 1
stuck 1
success 1
suggests 2
supplies 1
surroundings 1
survive 1
sustance 1
swede 1
takes 1
taking 1
talk 1
taste 1
tell 1
telling 1
tells 8
terrier 1
that 15
the 97
their 11
them 3
then 3
there 2
these 1
they 11
this 8
though 2
three 1
through 5
time 1
to 68
together 1
too 1
towards 5
town 3
track 1
tracking 1
travel 2
traveling 1
travelling 1
travels 1
tries 5
trying 1
turns 1
two 5
unable 2
unfortunately 1
until 3
up 4
upon 1
use 1
usual 1
very 4
visits 1
vixen 5
vole 1
wait 1
waiting 1
wakes 1
wall 3
want 3
wants 4
warning 2
warns 2
was 3
watches 1
way 2
weak 1
weakened 1
weeks 2
when 5
whenever 1
where 2
which 8
while 5
whisper 11
white 4
who 7
whom 1
will 1
winter 2
wire 2
with 7
wood 4
world 2
would 1
young 2
