5624476
/m/0dwy93
/m/0dwy93
Kelley Armstrong
2004
a 15
about 4
almost 1
and 12
another 2
are 1
arrange 2
as 2
asks 1
at 1
attack 3
attacks 1
backfires 1
ball 1
be 3
because 1
been 1
before 1
begun 1
believed 1
benicio 4
bodyguard 1
both 1
breaks 1
buried 1
but 6
by 2
cabal 4
can 2
case 1
cause 1
charity 1
child 2
children 2
choice 1
code 1
coma 1
come 1
computer 1
concerned 1
contact 3
continue 1
cortez 2
coven 1
custody 1
dana 3
daughter 1
dead 2
decide 1
decision 1
details 3
disapproval 1
discover 2
discovers 1
dismayed 1
do 1
doorstep 1
down 1
edward 4
employee 1
employees 2
encrypted 1
entirely 1
esus 1
eve 1
eventually 1
everett 2
everyone 1
executes 1
execution 1
family 1
fates 1
father 3
files 1
find 5
for 4
form 1
from 1
further 1
getting 1
ghost 3
girl 1
gives 1
go 1
goes 1
grandson 1
griffin 1
guides 1
happy 1
has 1
have 1
he 2
hear 1
help 1
her 6
him 4
hired 1
his 3
home 2
hostage 1
ignores 1
immediately 1
immortalityquester 1
in 5
inability 1
injured 1
into 1
introduce 1
investigate 2
investigation 1
is 13
it 3
jaime 5
jeremy 1
kidnapped 1
killed 3
land 2
leads 2
list 1
living 1
looking 1
lot 1
lucas 5
macarthur 1
man 1
manages 1
meet 2
meets 1
miami 1
mother 1
nast 1
natasha 2
necromancer 1
new 2
news 1
night 1
not 1
of 17
offer 1
on 1
one 1
only 1
order 1
other 1
out 1
pack 1
paige 10
peacefully 1
persuade 2
plagued 1
plan 1
process 1
relationship 1
results 1
returns 1
reveal 1
revenge 1
savannah 3
save 2
search 2
series 1
set 2
she 3
shot 1
similar 1
situation 1
son 2
start 1
starts 1
stay 1
story 1
struggles 1
swamp 1
swat 1
swift 1
taken 1
team 1
that 4
the 29
their 3
them 6
themselves 1
then 1
there 1
they 12
thomas 1
to 27
track 1
trap 2
travel 1
trial 1
two 1
unable 1
up 1
upon 2
vampire 1
vampires 1
vegas 1
visit 1
weber 5
well 1
werewolf 1
werewolves 1
what 1
when 1
where 2
who 3
winterbourne 1
witches 1
with 6
would 1
wrong 1
